,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_109m_1416et._2995558773,22000000,3,109.0,201834,14,16,Выборгский,"пр-т Луначарского, 13к1",Озерки,11–15 мин.,17.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_537m_1212et._3090207952,8500000,2,53.7,158286,12,12,Выборгский,"пр-т Просвещения, 46к1",Проспект Просвещения,16–20 мин.,17.04.2023,22 часа назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_226et._2583314606,11200000,2,50.0,224000,2,26,Выборгский,"Актёрский пр., 6",Проспект Просвещения,от 31 мин.,17.04.2023,6 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_494m_312et._2868934464,8400000,2,49.4,170040,3,12,Выборгский,"ул. Сикейроса, 13",Озерки,6–10 мин.,17.04.2023,8 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_619m_45et._2810013015,12750000,2,61.9,205977,4,5,Выборгский,"Большой Сампсониевский пр-т, 33/1",Выборгская,6–10 мин.,17.04.2023,8 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_67m_716et._2888605856,11500000,3,67.0,171641,7,16,Выборгский,"ул. Ивана Фомина, 3",Проспект Просвещения,11–15 мин.,17.04.2023,10 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_624m_116et._2773898426,8650000,3,62.4,138621,1,16,Выборгский,"пр-т Просвещения, 52к2",Проспект Просвещения,16–20 мин.,15.04.2023,2 дня назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_334m_326et._2888074393,6600000,Студия,33.4,197604,3,26,Выборгский,"ул. Прокофьева, 7к2",Проспект Просвещения,16–20 мин.,17.04.2023,11 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27m_212et._2888677754,6000000,Студия,27.0,222222,2,12,Выборгский,"Светлановский пр-т, 8",Удельная,21–30 мин.,17.04.2023,10 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_69et._2835499941,4600000,1,31.0,148387,6,9,Выборгский,"пр-т Художников, 19к1",Проспект Просвещения,21–30 мин.,15.04.2023,2 дня назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_28m_610et._2842077642,9990000,Студия,28.0,356785,6,10,Выборгский,"Манчестерская ул., 3",Удельная,16–20 мин.,17.04.2023,8 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1168m_67et._2687253128,20490000,3,116.8,175428,6,7,Выборгский,"Суздальское ш., 12",Парнас,от 31 мин.,17.04.2023,57 минут назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36m_2127et._2741543996,5990000,1,36.0,166388,21,27,Выборгский,"пос. Парголово, Брюлловская ул., 5",Парнас,16–20 мин.,12.04.2023,5 дней назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_803m_1823et._3042454381,17990000,2,80.3,224034,18,23,Выборгский,"ул. Есенина, 1к1",Озерки,11–15 мин.,17.04.2023,11 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_465m_79et._2760250830,6500000,2,46.5,139784,7,9,Выборгский,"пр-т Художников, 34/12",Проспект Просвещения,21–30 мин.,17.04.2023,7 часов назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_285m_99et._2752546209,7800000,Студия,28.5,273684,9,9,Выборгский,"ул. Александра Матросова, 3",Лесная,11–15 мин.,17.04.2023,22 часа назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_291m_2727et._2708916351,4400000,Студия,29.1,151202,27,27,Выборгский,"пос. Парголово, ул. Архитектора Белова, 6к1",Парнас,11–15 мин.,15.04.2023,2 дня назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_288m_1927et._2880095035,4200000,Студия,28.8,145833,19,27,Выборгский,"пос. Парголово, ул. Архитектора Белова, 6к1",Парнас,11–15 мин.,17.04.2023,11 часов назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_39et._2545135353,6200000,1,31.0,200000,3,9,Выборгский,"пр-т Луначарского, 66к2",Проспект Просвещения,21–30 мин.,27.03.2023,3 недели назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_26m_612et._2734371554,6400000,Студия,26.0,246153,6,12,Выборгский,"Манчестерская ул., 3",Удельная,16–20 мин.,17.04.2023,6 часов назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_195m_920et._2795703511,3550000,Студия,19.5,182051,9,20,Выборгский,"пос. Парголово, Толубеевский пр., 8к2",Парнас,11–15 мин.,17.04.2023,9 часов назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_287m_1216et._2887970141,5900000,1,28.7,205574,12,16,Выборгский,"пр-т Художников, 35",Проспект Просвещения,16–20 мин.,11.04.2023,6 дней назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_99et._2897044797,6000000,1,34.0,176470,9,9,Выборгский,"Суздальский пр-т, 5к1",Парнас,от 31 мин.,17.04.2023,3 часа назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_65m_19et._2995587290,11000000,3,65.0,169230,1,9,Выборгский,"ул. Есенина, 40к1",Проспект Просвещения,11–15 мин.,17.04.2023,10 часов назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_225m_1326et._2976268258,4690000,Студия,22.5,208444,13,26,Выборгский,"пос. Парголово, Толубеевский пр., 24",Парнас,21–30 мин.,17.04.2023,2 часа назад
