,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456m_39et._2504971450,8700000,2,45.6,190789,3,9,Кировский,"Ленинский пр-т, 138/5",Ленинский проспект,6–10 мин.,15.04.2023,7 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_67m_1113et._2937899743,13000000,2,67.0,194029,11,13,Кировский,"Двинская ул., 8к3",Нарвская,21–30 мин.,15.04.2023,10 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_414m_99et._2730381585,1626000,2,41.4,39275,9,9,Кировский,"пр-т Ветеранов, 29",Проспект Ветеранов,6–10 мин.,14.04.2023,1 день назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_29m_59et._2947926398,4500000,1,29.0,155172,5,9,Кировский,"ул. Генерала Симоняка, 18",Проспект Ветеранов,от 31 мин.,15.04.2023,1 час назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_57m_89et._2663643314,7900000,3,57.0,138596,8,9,Кировский,"ул. Солдата Корзуна, 5",Проспект Ветеранов,21–30 мин.,15.04.2023,8 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_416m_35et._2902415955,5490000,3,41.6,131971,3,5,Кировский,"Санкт-Петербург, проспект Маршала Жукова, 56к4",Проспект Ветеранов,от 31 мин.,15.04.2023,3 часа назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_82m_510et._2508392853,11990000,3,82.0,146219,5,10,Кировский,"Санкт-Петербург, улица Генерала Симоняка, 4к5",Проспект Ветеранов,от 31 мин.,14.04.2023,1 день назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_45m_48et._2853659274,10400000,1,45.0,231111,4,8,Кировский,"пр-т Ветеранов, 108к1",Проспект Ветеранов,от 31 мин.,15.04.2023,20 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_799m_45et._3017817788,12500000,3,79.9,156445,4,5,Кировский,"ул. Маршала Говорова, 15",Кировский завод,6–10 мин.,12.04.2023,3 дня назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_42m_25et._2300846355,6199000,3,42.0,147595,2,5,Кировский,"Дачный пр-т, 5к1",Проспект Ветеранов,11–15 мин.,09.04.2023,6 дней назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_418m_55et._2859751242,6000000,3,41.8,143540,5,5,Кировский,"ул. Бурцева, 10",Проспект Ветеранов,от 31 мин.,13.04.2023,2 дня назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_12et._2832216902,2980000,Студия,20.0,149000,1,2,Кировский,"Турбинная ул., 19к3",Нарвская,16–20 мин.,10.04.2023,5 дней назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458m_79et._2908041645,7750000,2,45.8,169213,7,9,Кировский,"пр-т Ветеранов, 5к1",Проспект Ветеранов,6–10 мин.,15.04.2023,40 минут назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_879m_412et._2904264102,21990000,2,87.9,250170,4,12,Кировский,"ул. Трефолева, 9к2",Нарвская,16–20 мин.,14.04.2023,1 день назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_66et._2820226247,5000000,2,42.0,119047,6,6,Кировский,"Краснопутиловская ул., 51",Автово,11–15 мин.,01.04.2023,2 недели назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_295m_29et._2774891848,5500000,1,29.5,186440,2,9,Кировский,"Ленинский пр-т, 138/5",Ленинский проспект,6–10 мин.,25.03.2023,3 недели назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_70m_15et._2685354367,10900000,4,70.0,155714,1,5,Кировский,"Санкт-Петербург, проспект Ветеранов, 31",Проспект Ветеранов,6–10 мин.,13.04.2023,2 дня назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_349m_39et._2780480720,6200000,1,34.9,177650,3,9,Кировский,"пр-т Ветеранов, 76",Проспект Ветеранов,21–30 мин.,15.04.2023,11 часов назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_423m_15et._3019770549,6400000,3,42.3,151300,1,5,Кировский,"б-р Новаторов, 38",Ленинский проспект,6–10 мин.,15.04.2023,1 час назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_563m_45et._2815300562,8700000,3,56.3,154529,4,5,Кировский,"ул. Васи Алексеева, 15",Кировский завод,6–10 мин.,15.04.2023,11 часов назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_451m_45et._2925456487,5000000,2,45.1,110864,4,5,Кировский,"ул. Солдата Корзуна, 13",Проспект Ветеранов,от 31 мин.,08.04.2023,1 неделю назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_515m_1012et._2566034301,9490000,2,51.5,184271,10,12,Кировский,"пр-т Ветеранов, 114к1",Проспект Ветеранов,от 31 мин.,15.04.2023,4 часа назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_713m_19et._2908576142,10500000,5,71.3,147265,1,9,Кировский,"ул. Стойкости, 7",Проспект Ветеранов,от 31 мин.,15.04.2023,40 минут назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_677m_12et._2644009691,11000000,3,67.7,162481,1,2,Кировский,"Севастопольская ул., 40",Кировский завод,16–20 мин.,25.03.2023,3 недели назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_423m_89et._2824730672,6850000,2,42.3,161938,8,9,Кировский,"Дачный пр-т, 5к7",Проспект Ветеранов,11–15 мин.,08.04.2023,1 неделю назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_89m_55et._3050321898,14599000,3,89.0,164033,5,5,Кировский,"Оборонная ул., 14",Нарвская,16–20 мин.,15.04.2023,1 час назад
