,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_22m_66et._2851045476,3690000,Студия,22.0,167727,6,6,Центральный,"Суворовский пр-т, 34",Чернышевская,16–20 мин.,15.04.2023,46 минут назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_215m_55et._2949748096,7103600,Студия,21.5,330400,5,5,Центральный,"Тележная ул., 25-27",Площадь А. Невского II,6–10 мин.,15.04.2023,9 минут назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_841m_88et._2772529589,41000000,1,84.1,487514,8,8,Центральный,"Полтавский пр., 3",Площадь Восстания,6–10 мин.,15.04.2023,2 часа назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_566m_39et._3028077512,14200000,1,56.6,250883,3,9,Центральный,"Кременчугская ул., 9к2",Площадь А. Невского II,11–15 мин.,15.04.2023,2 часа назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_884m_47et._2773229809,41548000,2,88.4,469999,4,7,Центральный,"Орловская ул., 1",Чернышевская,21–30 мин.,15.04.2023,9 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1106m_44et._2659987653,18800000,3,110.6,169981,4,4,Центральный,"Центральный район, ул. Ломоносова, 24",Достоевская,до 5 мин.,10.04.2023,5 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_192m_25et._2846976523,3270000,Студия,19.2,170312,2,5,Центральный,"ул. Марата, 35",Владимирская,до 5 мин.,15.04.2023,1 час назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_508m_13et._2841054971,10850000,2,50.8,213582,1,3,Центральный,"Думская ул., 5/22",Невский проспект,до 5 мин.,09.04.2023,6 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_116m_57et._2805251305,31500000,3,116.0,271551,5,7,Центральный,"ул. Марата, 47-49",Лиговский проспект,6–10 мин.,15.04.2023,9 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_21m_24et._2798638236,5000000,Студия,21.0,238095,2,4,Центральный,"Владимирский пр-т, 13/9",Достоевская,до 5 мин.,15.04.2023,9 часов назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_865m_26et._2901112898,38915000,2,86.5,449884,2,6,Центральный,"Захарьевская ул., 41",Чернышевская,6–10 мин.,15.04.2023,9 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_492m_310et._2996520002,14300000,1,49.2,290650,3,10,Центральный,"Кременчугская ул., 13к1",Площадь А. Невского II,11–15 мин.,15.04.2023,8 часов назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_246m_66et._2720181170,9105390,Студия,24.6,370137,6,6,Центральный,"Лиговский пр-т, 56Б",Лиговский проспект,6–10 мин.,13.04.2023,2 дня назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_38m_26et._2843673956,4998998,Студия,38.0,131552,2,6,Центральный,"6-я Советская ул., 4",Площадь Восстания,11–15 мин.,15.04.2023,10 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_51m_55et._2836117316,19500000,1,51.0,382352,5,5,Центральный,"ул. Марата, 2/73-75",Маяковская,до 5 мин.,11.04.2023,4 дня назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18m_25et._2901009448,3950000,Студия,18.0,219444,2,5,Центральный,"ул. Пестеля, 27",Чернышевская,6–10 мин.,14.04.2023,1 день назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_149m_23et._2609024669,3800000,Студия,14.9,255033,2,3,Центральный,"Лиговский пр-т, 50Р",Лиговский проспект,6–10 мин.,13.04.2023,2 дня назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_196m_57et._2906264359,4190000,Студия,19.6,213775,5,7,Центральный,"ул. Восстания, 41",Чернышевская,6–10 мин.,15.04.2023,6 часов назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_16m_25et._2883379729,4300000,Студия,16.0,268750,2,5,Центральный,"Невский пр-т, 136",Площадь Восстания,6–10 мин.,15.04.2023,1 час назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_532m_28et._2939681794,30000000,1,53.2,563909,2,8,Центральный,"Парадная ул., 3к2",Чернышевская,6–10 мин.,11.04.2023,4 дня назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_475m_15et._2937827070,9200000,2,47.5,193684,1,5,Центральный,"ул. Марата, 61",Лиговский проспект,6–10 мин.,12.04.2023,3 дня назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_19m_25et._2737429018,5150000,Студия,19.0,271052,2,5,Центральный,"Невский пр-т, 146",Площадь Восстания,6–10 мин.,15.04.2023,10 часов назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_984m_66et._2732153367,26500000,3,98.4,269308,6,6,Центральный,"Невский пр-т, 72",Маяковская,6–10 мин.,15.04.2023,9 часов назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_826m_55et._2841790167,15990000,3,82.6,193583,5,5,Центральный,"Захарьевская ул., 27",Чернышевская,до 5 мин.,15.04.2023,19 часов назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_66m_46et._2924888828,15300000,3,66.0,231818,4,6,Центральный,"Мытнинская ул., 5/2",Площадь Восстания,11–15 мин.,15.04.2023,9 часов назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_323m_35et._2949692698,7752000,Студия,32.3,240000,3,5,Центральный,"Лиговский пр-т, 141И",Обводный канал,до 5 мин.,15.04.2023,8 часов назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_264m_46et._2720246780,9449836,Студия,26.4,357948,4,6,Центральный,"Лиговский пр-т, 56Б",Лиговский проспект,6–10 мин.,14.04.2023,1 день назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_135m_36et._2810586747,18700000,5,135.0,138518,3,6,Центральный,"2-я Советская ул., 27/2",Площадь Восстания,6–10 мин.,14.04.2023,1 день назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_14et._2566270961,12550000,2,45.0,278888,1,4,Центральный,"ул. Радищева, 42Б",Чернышевская,до 5 мин.,15.04.2023,2 часа назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_273m_27et._2241095593,5487000,Студия,27.3,200989,2,7,Центральный,"Лиговский пр-т, 71П",Владимирская,6–10 мин.,11.04.2023,4 дня назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_21m_25et._2093310572,5950000,Студия,21.0,283333,2,5,Центральный,"ул. Чайковского, 4",Чернышевская,11–15 мин.,14.04.2023,1 день назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_108m_44et._2783042142,20000000,3,108.0,185185,4,4,Центральный,"Кирочная ул., 25",Чернышевская,до 5 мин.,15.04.2023,2 часа назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54m_35et._2793448305,14700000,2,54.0,272222,3,5,Центральный,"Новгородская ул., 5",Площадь А. Невского I,16–20 мин.,15.04.2023,10 часов назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_856m_910et._2956933593,26600000,3,85.6,310747,9,10,Центральный,"Кременчугская ул., 17к2",Площадь А. Невского II,16–20 мин.,15.04.2023,9 часов назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1728m_46et._2538441960,5554000,4,172.8,32141,4,6,Центральный,"Фурштатская ул., 2/12",Чернышевская,6–10 мин.,14.04.2023,1 день назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_43m_46et._2769202227,8500000,2,43.0,197674,4,6,Центральный,"8-я Советская ул., 44",Площадь Восстания,16–20 мин.,15.04.2023,10 часов назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/6-k._kvartira_142m_66et._2261778946,20000000,6,142.0,140845,6,6,Центральный,"Боровая ул., 11-13",Лиговский проспект,6–10 мин.,15.04.2023,22 часа назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18m_25et._2883598576,4500000,Студия,18.0,250000,2,5,Центральный,"Невский пр-т, 136",Площадь Восстания,6–10 мин.,15.04.2023,1 час назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_559m_44et._2447272080,12350000,1,55.9,220930,4,4,Центральный,"Социалистическая ул., 10/9",Звенигородская,6–10 мин.,15.04.2023,26 минут назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_12m_16et._2907170821,2490000,Студия,12.0,207500,1,6,Центральный,"Загородный пр-т, 21-23",Звенигородская,до 5 мин.,08.04.2023,1 неделю назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_273m_27et._2913123254,6213000,Студия,27.3,227582,2,7,Центральный,"Лиговский пр-т, 71П",Владимирская,6–10 мин.,12.04.2023,3 дня назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_328m_23et._2468892819,8099000,Студия,32.8,246920,2,3,Центральный,"Санкт-Петербург, Шпалерная улица, 38",Чернышевская,6–10 мин.,15.04.2023,2 часа назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_612m_26et._2623811488,10600000,3,61.2,173202,2,6,Центральный,"Лиговский пр-т, 149Н",Обводный канал,до 5 мин.,15.04.2023,7 часов назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_55et._2908701764,4200000,Студия,20.0,210000,5,5,Центральный,"ул. Жуковского, 11",Маяковская,6–10 мин.,08.04.2023,1 неделю назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_205m_46et._2836847344,4100000,Студия,20.5,200000,4,6,Центральный,"ул. Марата, 70А-70Б, этаж 4",Звенигородская,6–10 мин.,15.04.2023,2 часа назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_14m_25et._2957794600,3500000,Студия,14.0,250000,2,5,Центральный,"Владимирский пр-т, 15",Достоевская,до 5 мин.,13.04.2023,2 дня назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_1137m_56et._2240917321,19000000,5,113.7,167106,5,6,Центральный,"10-я Советская ул., 16",Площадь А. Невского I,21–30 мин.,15.04.2023,9 часов назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_10m_24et._2733932305,3300000,Студия,10.0,330000,2,4,Центральный,"наб. реки Фонтанки, 38",Маяковская,6–10 мин.,15.04.2023,9 часов назад
48,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_17m_33et._2509822796,4700000,Студия,17.0,276470,3,3,Центральный,"Суворовский пр-т, 1/8",Площадь Восстания,6–10 мин.,14.04.2023,1 день назад
49,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_876m_17et._2908374072,13000000,4,87.6,148401,1,7,Центральный,"Коломенская ул., 10",Лиговский проспект,6–10 мин.,15.04.2023,9 часов назад
50,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_876m_17et._2908374072,13000000,4,87.6,148401,1,7,Центральный,"Коломенская ул., 10",Лиговский проспект,6–10 мин.,15.04.2023,9 часов назад
51,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_459m_49et._2761020028,14200000,2,45.9,309368,4,9,Центральный,"Кременчугская ул., 9к1",Площадь А. Невского II,11–15 мин.,15.04.2023,10 часов назад
52,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_271m_16et._2501829361,5599000,Студия,27.1,206605,1,6,Центральный,"ул. Марата, 54/34",Лиговский проспект,до 5 мин.,15.04.2023,2 часа назад
53,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_213m_24et._2968474615,4100000,Студия,21.3,192488,2,4,Центральный,"ул. Жуковского, 21",Маяковская,6–10 мин.,08.04.2023,1 неделю назад
