,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_49m_55et._2753028577,6990000,4,49.0,142653,5,5,Кировский,"Санкт-Петербург, проспект Народного Ополчения, 109, подъезд 3",Проспект Ветеранов,11–15 мин.,19.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_774m_22et._2642786732,13950000,3,77.4,180232,2,2,Кировский,"Промышленная ул., 28",Нарвская,11–15 мин.,18.04.2023,1 день назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_67m_1113et._2937899743,13000000,2,67.0,194029,11,13,Кировский,"Двинская ул., 8к3",Нарвская,21–30 мин.,19.04.2023,8 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_208m_1214et._2855240034,4690000,Студия,20.8,225480,12,14,Кировский,"пр-т Стачек, 62",Кировский завод,до 5 мин.,19.04.2023,6 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_105m_14et._2435330447,2520000,Студия,10.5,240000,1,4,Кировский,"пр-т Стачек, 38",Кировский завод,11–15 мин.,19.04.2023,4 часа назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_414m_99et._2730381585,1626000,2,41.4,39275,9,9,Кировский,"пр-т Ветеранов, 29",Проспект Ветеранов,6–10 мин.,14.04.2023,5 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_422m_35et._2780667898,7900000,3,42.2,187203,3,5,Кировский,"Счастливая ул., 7",Ленинский проспект,6–10 мин.,17.04.2023,2 дня назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_57m_89et._2663643314,7900000,3,57.0,138596,8,9,Кировский,"ул. Солдата Корзуна, 5",Проспект Ветеранов,21–30 мин.,15.04.2023,4 дня назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_393m_1215et._3037418049,8490000,1,39.3,216030,12,15,Кировский,"Ленинский пр-т, 114",Проспект Ветеранов,16–20 мин.,18.04.2023,1 день назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_338m_69et._2650493657,4650000,1,33.8,137573,6,9,Кировский,"ул. Стойкости, 10",Проспект Ветеранов,от 31 мин.,19.04.2023,19 часов назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_70m_15et._2685354367,10900000,4,70.0,155714,1,5,Кировский,"Санкт-Петербург, проспект Ветеранов, 31",Проспект Ветеранов,6–10 мин.,13.04.2023,6 дней назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_64m_417et._2640811359,12900000,2,64.0,201562,4,17,Кировский,"Ленинский пр-т, 114",Проспект Ветеранов,16–20 мин.,12.04.2023,1 неделю назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_42m_45et._2528928798,6250000,3,42.0,148809,4,5,Кировский,"ул. Лёни Голикова, 36",Проспект Ветеранов,11–15 мин.,14.04.2023,5 дней назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_82m_510et._2508392853,11990000,3,82.0,146219,5,10,Кировский,"Санкт-Петербург, улица Генерала Симоняка, 4к5",Проспект Ветеранов,от 31 мин.,14.04.2023,5 дней назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_66et._2820226247,5000000,2,42.0,119047,6,6,Кировский,"Краснопутиловская ул., 51",Автово,11–15 мин.,05.04.2023,2 недели назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_772m_1924et._2851931935,18600000,2,77.2,240932,19,24,Кировский,"пр-т Народного Ополчения, 10",Ленинский проспект,6–10 мин.,17.04.2023,2 дня назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_412m_36et._2911468835,6000000,2,41.2,145631,3,6,Кировский,"ул. Червонного Казачества, 6",Автово,6–10 мин.,19.04.2023,8 часов назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_486m_45et._2847697515,6400000,3,48.6,131687,4,5,Кировский,"ул. Лёни Голикова, 21",Проспект Ветеранов,16–20 мин.,19.04.2023,1 час назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_444m_25et._2646010730,6180000,2,44.4,139189,2,5,Кировский,"Санкт-Петербург, улица Солдата Корзуна, 56",Проспект Ветеранов,21–30 мин.,12.04.2023,1 неделю назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_423m_89et._2824730672,6850000,2,42.3,161938,8,9,Кировский,"Дачный пр-т, 5к7",Проспект Ветеранов,11–15 мин.,12.04.2023,1 неделю назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335m_49et._3000274558,6200000,1,33.5,185074,4,9,Кировский,"пр-т Ветеранов, 46",Проспект Ветеранов,до 5 мин.,19.04.2023,1 час назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_39m_1724et._2897576741,6600000,1,39.0,169230,17,24,Кировский,"пр-т Маршала Жукова, 48к1",Проспект Ветеранов,от 31 мин.,19.04.2023,23 часа назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_645m_616et._2782244074,10000000,3,64.5,155038,6,16,Кировский,"пр-т Стачек, 105к2Ж",Автово,21–30 мин.,19.04.2023,13 часов назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_120m_1010et._2930928416,16200000,4,120.0,135000,10,10,Кировский,"Автовская ул., 2",Автово,до 5 мин.,16.04.2023,3 дня назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_879m_412et._2904264102,21990000,2,87.9,250170,4,12,Кировский,"ул. Трефолева, 9к2",Нарвская,16–20 мин.,14.04.2023,5 дней назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35m_1212et._2879551379,4500000,1,35.0,128571,12,12,Кировский,"ул. Стойкости, 39",Проспект Ветеранов,от 31 мин.,12.04.2023,1 неделю назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_99et._2844868720,5850000,2,42.0,139285,9,9,Кировский,"пр-т Народного Ополчения, 87",Ленинский проспект,11–15 мин.,19.04.2023,8 минут назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36m_612et._2493906176,7600000,1,36.0,211111,6,12,Кировский,"Санкт-Петербург, проспект Ветеранов, 87",Проспект Ветеранов,21–30 мин.,13.04.2023,6 дней назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_331m_712et._2932473146,5150000,1,33.1,155589,7,12,Кировский,"ул. Солдата Корзуна, 24",Проспект Ветеранов,21–30 мин.,18.04.2023,1 день назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_491m_45et._2920475640,6700000,4,49.1,136456,4,5,Кировский,"ул. Лёни Голикова, 27к5",Проспект Ветеранов,21–30 мин.,19.04.2023,5 часов назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_12et._2832216902,2980000,Студия,20.0,149000,1,2,Кировский,"Турбинная ул., 19к3",Нарвская,16–20 мин.,12.04.2023,1 неделю назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_288m_39et._3001888470,6799999,1,28.8,236111,3,9,Кировский,"ул. Корнеева, 6",Кировский завод,11–15 мин.,19.04.2023,26 минут назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_31m_425et._2714627354,6100000,Студия,31.0,196774,4,25,Кировский,"Ленинский пр-т, 114",Проспект Ветеранов,16–20 мин.,17.04.2023,2 дня назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_451m_39et._2746261279,7800000,2,45.1,172949,3,9,Кировский,"Ленинский пр-т, 138/5",Ленинский проспект,6–10 мин.,19.04.2023,1 час назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_304m_39et._2900181960,4950000,1,30.4,162828,3,9,Кировский,"ул. Генерала Симоняка, 4к1",Проспект Ветеранов,от 31 мин.,12.04.2023,1 неделю назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_416m_35et._2902415955,5490000,3,41.6,131971,3,5,Кировский,"пр-т Маршала Жукова, 56к4",Проспект Ветеранов,от 31 мин.,15.04.2023,4 дня назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_454m_2124et._2795024565,8490000,1,45.4,187004,21,24,Кировский,"пр-т Маршала Жукова, 48к1",Проспект Ветеранов,от 31 мин.,14.04.2023,5 дней назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_501m_36et._3060648049,9990000,2,50.1,199401,3,6,Кировский,"ул. Швецова, 10",Нарвская,6–10 мин.,19.04.2023,47 минут назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_56m_35et._2879062275,8760000,2,56.0,156428,3,5,Кировский,"ул. Васи Алексеева, 21",Кировский завод,11–15 мин.,13.04.2023,6 дней назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_29et._3036811838,11000000,3,68.0,161764,2,9,Кировский,"б-р Новаторов, 69",Проспект Ветеранов,до 5 мин.,19.04.2023,5 часов назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32m_612et._2707209023,5100000,1,32.0,159375,6,12,Кировский,"пр-т Ветеранов, 100",Проспект Ветеранов,от 31 мин.,16.04.2023,3 дня назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_601m_39et._2813812716,7600000,3,60.1,126455,3,9,Кировский,"ул. Стойкости, 41к1",Проспект Ветеранов,от 31 мин.,Несколько секунд назад,Несколько секунд назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_419m_35et._2847926658,6500000,3,41.9,155131,3,5,Кировский,"пр-т Ветеранов, 63",Проспект Ветеранов,11–15 мин.,18.04.2023,1 день назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_637m_39et._2880032466,7950000,3,63.7,124803,3,9,Кировский,"ул. Генерала Симоняка, 18",Проспект Ветеранов,от 31 мин.,19.04.2023,3 часа назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_306m_49et._2988169616,6800000,1,30.6,222222,4,9,Кировский,"Дачный пр-т, 3к1",Проспект Ветеранов,11–15 мин.,05.04.2023,2 недели назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445m_13et._2602996678,7700000,2,44.5,173033,1,3,Кировский,"Санкт-Петербург, Майков переулок, 5А",Нарвская,11–15 мин.,19.04.2023,19 минут назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_555m_1618et._2550391204,10700000,2,55.5,192792,16,18,Кировский,"Ленинский пр-т, 129",Ленинский проспект,до 5 мин.,05.04.2023,2 недели назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_278m_29et._2625061366,5100000,1,27.8,183453,2,9,Кировский,"Дачный пр-т, 5к2",Проспект Ветеранов,11–15 мин.,18.04.2023,1 день назад
48,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_525m_25et._3013910673,11000000,2,52.5,209523,2,5,Кировский,"ул. Новостроек, 21/16",Кировский завод,11–15 мин.,18.04.2023,1 день назад
49,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_424m_48et._2970879376,10250000,1,42.4,241745,4,8,Кировский,"Двинская ул., 6",Нарвская,21–30 мин.,19.04.2023,4 часа назад
50,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_487m_15et._2711017948,6300000,4,48.7,129363,1,5,Кировский,"б-р Новаторов, 23",Ленинский проспект,до 5 мин.,16.04.2023,3 дня назад
51,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32m_612et._2707209023,5100000,1,32.0,159375,6,12,Кировский,"пр-т Ветеранов, 100",Проспект Ветеранов,от 31 мин.,16.04.2023,3 дня назад
52,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_29m_25et._2443752660,4900000,Студия,29.0,168965,2,5,Кировский,"ул. Васи Алексеева, 12",Кировский завод,6–10 мин.,16.04.2023,3 дня назад
53,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_49m_45et._2852664657,7250000,4,49.0,147959,4,5,Кировский,"Трамвайный пр-т, 13к1",Ленинский проспект,6–10 мин.,18.04.2023,1 день назад
54,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458m_79et._2908041645,7750000,2,45.8,169213,7,9,Кировский,"пр-т Ветеранов, 5к1",Проспект Ветеранов,6–10 мин.,16.04.2023,3 дня назад
55,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445m_13et._2602996678,7700000,2,44.5,173033,1,3,Кировский,"Санкт-Петербург, Майков переулок, 5А",Нарвская,11–15 мин.,19.04.2023,20 минут назад
56,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_25m_34et._2878112422,4350000,Студия,25.0,174000,3,4,Кировский,"пр-т Ветеранов, 6",Проспект Ветеранов,6–10 мин.,14.04.2023,5 дней назад
57,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_336m_39et._2905463180,4900000,1,33.6,145833,3,9,Кировский,"ул. Солдата Корзуна, 50",Проспект Ветеранов,21–30 мин.,13.04.2023,6 дней назад
58,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_492m_55et._2042109209,5900000,4,49.2,119918,5,5,Кировский,"пр-т Народного Ополчения, 79",Ленинский проспект,11–15 мин.,19.04.2023,6 часов назад
59,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_242m_33et._2628949747,3976500,Студия,24.2,164318,3,3,Кировский,"Майков пер., 4А",Нарвская,11–15 мин.,12.04.2023,1 неделю назад
60,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_555m_1618et._2550391204,10700000,2,55.5,192792,16,18,Кировский,"Ленинский пр-т, 129",Ленинский проспект,до 5 мин.,05.04.2023,2 недели назад
61,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_414m_66et._2988029524,5750000,2,41.4,138888,6,6,Кировский,"ул. Зины Портновой, 28",Ленинский проспект,6–10 мин.,12.04.2023,1 неделю назад
62,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59m_33et._1868441055,9500000,3,59.0,161016,3,3,Кировский,"Санкт-Петербург, проспект Стачек, 44, подъезд 1",Кировский завод,11–15 мин.,19.04.2023,38 минут назад
63,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_422m_15et._2948832423,5450000,3,42.2,129146,1,5,Кировский,"пр-т Народного Ополчения, 77",Ленинский проспект,11–15 мин.,12.04.2023,1 неделю назад
64,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_494m_15et._2801371452,5999000,4,49.4,121437,1,5,Кировский,"ул. Лёни Голикова, 19",Проспект Ветеранов,16–20 мин.,12.04.2023,1 неделю назад
65,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_498m_1012et._2853397099,10250000,1,49.8,205823,10,12,Кировский,"ул. Трефолева, 9к2",Нарвская,16–20 мин.,18.04.2023,1 день назад
66,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_584m_35et._2717239080,8500000,3,58.4,145547,3,5,Кировский,"пр-т Народного Ополчения, 159",Проспект Ветеранов,21–30 мин.,12.04.2023,1 неделю назад
