,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_56m_55et._2968198064,6049000,3,56.0,108017,5,5,Красногвардейский,"пр-т Энергетиков, 28к6",Ладожская,от 31 мин.,19.04.2023,9 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_875m_34et._2735300206,8490000,3,87.5,97028,3,4,Красногвардейский,"Рябовское ш., 57",Не указано,Не указано,19.04.2023,12 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_581m_1818et._2944464467,7800000,2,58.1,134251,18,18,Красногвардейский,"Муринская дорога, 84",Девяткино,21–30 мин.,19.04.2023,13 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_33m_626et._2880266073,5000000,1,33.0,151515,6,26,Красногвардейский,"Пейзажная ул., 6",Гражданский проспект,от 31 мин.,19.04.2023,13 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_366m_321et._2525581558,8800000,1,36.6,240437,3,21,Красногвардейский,"пр-т Энергетиков, 9к6",Ладожская,11–15 мин.,19.04.2023,5 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_63m_19et._2906284251,9100000,3,63.0,144444,1,9,Красногвардейский,"пр-т Маршала Блюхера, 65",Не указано,Не указано,19.04.2023,3 часа назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_631m_312et._2828182439,9500000,3,63.1,150554,3,12,Красногвардейский,"пр-т Наставников, 9к1",Проспект Большевиков,от 31 мин.,18.04.2023,1 день назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1429m_1415et._2916723139,32000000,3,142.9,223932,14,15,Красногвардейский,"Магнитогорская ул., 3к2",Новочеркасская,11–15 мин.,18.04.2023,1 день назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_412et._2784734252,5450000,1,34.0,160294,4,12,Красногвардейский,"Северный пр-т, 107",Академическая,от 31 мин.,17.04.2023,2 дня назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_79et._2877899504,5200000,1,31.0,167741,7,9,Красногвардейский,"пр-т Энергетиков, 48",Ладожская,от 31 мин.,19.04.2023,4 минуты назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_342m_914et._2878134811,5750000,1,34.2,168128,9,14,Красногвардейский,"ул. Передовиков, 37",Ладожская,от 31 мин.,16.04.2023,3 дня назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_421m_35et._3050206474,6300000,2,42.1,149643,3,5,Красногвардейский,"ул. Маршала Тухачевского, 1",Ладожская,от 31 мин.,19.04.2023,3 часа назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_81m_716et._2794472619,13044600,3,81.0,161044,7,16,Красногвардейский,"пр-т Энтузиастов, 43к1",Ладожская,от 31 мин.,13.04.2023,6 дней назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_481m_812et._2938448774,7500000,2,48.1,155925,8,12,Красногвардейский,"пр-т Энтузиастов, 40к1Б",Ладожская,от 31 мин.,19.04.2023,11 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_637m_716et._2828188966,8900000,2,63.7,139717,7,16,Красногвардейский,"Васнецовский пр-т, 20",Гражданский проспект,от 31 мин.,14.04.2023,5 дней назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_341m_1921et._2994992718,8970000,1,34.1,263049,19,21,Красногвардейский,"пр-т Энергетиков, 9к1",Ладожская,6–10 мин.,19.04.2023,3 часа назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_562m_1617et._2508526387,7900000,2,56.2,140569,16,17,Красногвардейский,"Санкт-Петербург, Ковалёвская улица, 26",Не указано,Не указано,13.04.2023,6 дней назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_56m_1416et._2948603297,7990000,2,56.0,142678,14,16,Красногвардейский,"пр-т Ударников, 30к1",Ладожская,от 31 мин.,19.04.2023,4 часа назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_346m_623et._2566329050,5360000,1,34.6,154913,6,23,Красногвардейский,"Чарушинская ул., 10",Гражданский проспект,от 31 мин.,19.04.2023,9 часов назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_1626et._2839732974,7999000,2,52.0,153826,16,26,Красногвардейский,"Чарушинская ул., 22к1",Гражданский проспект,от 31 мин.,19.04.2023,5 часов назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_463m_25et._2896999225,6900000,2,46.3,149028,2,5,Красногвардейский,"Гранитная ул., 62",Ладожская,11–15 мин.,19.04.2023,7 часов назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_704m_23et._2663604578,9950000,3,70.4,141335,2,3,Красногвардейский,"Санкт-Петербург, Ириновский проспект, 39к1, подъезд 2",Не указано,Не указано,14.04.2023,5 дней назад
