,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_537m_914et._2897482246,9100000,2,53.7,169459,9,14,Московский,"Витебский пр-т, 73к3",Звёздная,16–20 мин.,19.04.2023,31 минуту назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_49m_116et._2842238290,10499000,2,49.0,214265,1,16,Московский,"пр-т Космонавтов, 65к9",Звёздная,6–10 мин.,19.04.2023,19 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_495m_35et._2541578763,6600000,4,49.5,133333,3,5,Московский,"ул. Костюшко, 98",Московская,11–15 мин.,19.04.2023,9 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_381m_117et._2746213522,5950000,1,38.1,156167,1,17,Московский,"Санкт-Петербург, Дизельный проезд, 11к2",Звёздная,21–30 мин.,18.04.2023,1 день назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_35et._2633654357,8500000,2,44.0,193181,3,5,Московский,"Санкт-Петербург, улица Ленсовета, 9/24, подъезд 3",Московская,11–15 мин.,19.04.2023,7 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_419m_25et._2467227127,6290000,3,41.9,150119,2,5,Московский,"ул. Костюшко, 64",Московская,11–15 мин.,17.04.2023,2 дня назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_130m_56et._2695156117,31700000,4,130.0,243846,5,6,Московский,"Варшавская ул., 61к1",Московская,6–10 мин.,19.04.2023,15 минут назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1137m_610et._2767001804,47500000,3,113.7,417766,6,10,Московский,"Московский пр-т, 139к2",Электросила,до 5 мин.,13.04.2023,6 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_508m_117et._2718697263,10180000,2,50.8,200393,1,17,Московский,"Дизельный пр., 11к3",Звёздная,21–30 мин.,19.04.2023,7 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_507m_1118et._2659429364,13200000,2,50.7,260355,11,18,Московский,"Санкт-Петербург, Среднерогатская улица, 12к1",Звёздная,16–20 мин.,17.04.2023,2 дня назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_605m_117et._2781801594,9900000,2,60.5,163636,1,17,Московский,"Дизельный пр., 11к3",Звёздная,21–30 мин.,19.04.2023,7 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_256m_617et._2887849816,7000000,Студия,25.6,273437,6,17,Московский,"Среднерогатская ул., 10к1",Звёздная,16–20 мин.,18.04.2023,1 день назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_368m_1919et._2826037006,7486000,1,36.8,203423,19,19,Московский,"Дунайский пр-т, 7к7",Звёздная,16–20 мин.,16.04.2023,3 дня назад
