,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_718m_39et._2985878978,9700000,3,71.8,135097,3,9,Невский,"Искровский пр-т, 20",Улица Дыбенко,11–15 мин.,19.04.2023,2 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_242m_33et._2645834558,3885000,Студия,24.2,160537,3,3,Невский,"пр-т Обуховской Обороны, 123А",Елизаровская,16–20 мин.,19.04.2023,6 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_277m_1515et._2771997368,4600000,Студия,27.7,166064,15,15,Невский,"ул. Крыленко, 14с2",Улица Дыбенко,21–30 мин.,19.04.2023,1 час назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_345m_1125et._2917013069,7500000,1,34.5,217391,11,25,Невский,"ул. Коллонтай, 5/1",Проспект Большевиков,16–20 мин.,18.04.2023,1 день назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_475m_1628et._2949186777,10100000,1,47.5,212631,16,28,Невский,"Рыбацкий пр-т, 18к2",Рыбацкое,16–20 мин.,19.04.2023,18 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_767m_1416et._2724215335,12769000,3,76.7,166479,14,16,Невский,"Российский пр-т, 5",Проспект Большевиков,6–10 мин.,19.04.2023,9 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_70m_69et._2874248685,13000000,3,70.0,185714,6,9,Невский,"пр-т Обуховской Обороны, 199",Пролетарская,6–10 мин.,19.04.2023,6 часов назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_666m_49et._2906590929,10500000,3,66.6,157657,4,9,Невский,"ул. Тельмана, 43к3",Улица Дыбенко,21–30 мин.,19.04.2023,1 час назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_41m_1620et._2868600452,10000000,1,41.0,243902,16,20,Невский,"Уездный пр-т, 11",Елизаровская,11–15 мин.,19.04.2023,2 часа назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_235m_55et._2993879415,3700000,Студия,23.5,157446,5,5,Невский,"Глазурная ул., 10",Площадь А. Невского II,21–30 мин.,17.04.2023,2 дня назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_635m_523et._2932004975,8999000,2,63.5,141716,5,23,Невский,"Русановская ул., 15к1",Обухово,от 31 мин.,19.04.2023,4 часа назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_515m_99et._2880658231,8200000,2,51.5,159223,9,9,Невский,"Искровский пр-т, 4к2",Проспект Большевиков,6–10 мин.,19.04.2023,11 часов назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_15m_45et._2800469966,2790000,Студия,15.0,186000,4,5,Невский,"Санкт-Петербург, проспект Обуховской Обороны, 107",Елизаровская,11–15 мин.,19.04.2023,2 часа назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_184m_33et._2870387155,4885000,Студия,18.4,265489,3,3,Невский,"пр-т Обуховской Обороны, 123А",Елизаровская,16–20 мин.,19.04.2023,3 часа назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_595m_324et._2882994070,13490000,2,59.5,226722,3,24,Невский,"ул. Седова, 24к3",Елизаровская,6–10 мин.,19.04.2023,5 часов назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_24m_315et._3050261194,4550000,Студия,24.0,189583,3,15,Невский,"ул. Крыленко, 14с2",Улица Дыбенко,21–30 мин.,19.04.2023,4 часа назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_1417et._2937902081,12600000,3,68.0,185294,14,17,Невский,"ул. Коллонтай, 14к2",Проспект Большевиков,6–10 мин.,19.04.2023,3 часа назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1042m_1010et._2730427717,20450000,4,104.2,196257,10,10,Невский,"ул. Коллонтай, 28к1",Проспект Большевиков,11–15 мин.,19.04.2023,3 часа назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_291m_49et._2951462318,5200000,1,29.1,178694,4,9,Невский,"ул. Подвойского, 14к1",Проспект Большевиков,11–15 мин.,19.04.2023,1 час назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55m_416et._2682194503,9500000,2,55.0,172727,4,16,Невский,"Караваевская ул., 22",Рыбацкое,до 5 мин.,18.04.2023,1 день назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_535m_219et._2940906998,9900000,2,53.5,185046,2,19,Невский,"ул. Коллонтай, 5/1",Проспект Большевиков,16–20 мин.,19.04.2023,6 часов назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_723m_910et._2940134251,10500000,3,72.3,145228,9,10,Невский,"ул. Антонова-Овсеенко, 9к2",Улица Дыбенко,16–20 мин.,19.04.2023,1 час назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_558m_25et._2599649443,9300000,3,55.8,166666,2,5,Невский,"ул. Седова, 23",Елизаровская,6–10 мин.,16.04.2023,3 дня назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32m_517et._2586062775,5000000,1,32.0,156250,5,17,Невский,"Октябрьская наб., 124к7",Обухово,от 31 мин.,19.04.2023,26 минут назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_361m_125et._2777997837,5700000,1,36.1,157894,1,25,Невский,"территория Усть-Славянка, Заводская ул., 15",Рыбацкое,от 31 мин.,18.04.2023,1 день назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_198m_29et._3000057321,3600000,Студия,19.8,181818,2,9,Невский,"пр-т Солидарности, 8к1",Проспект Большевиков,21–30 мин.,19.04.2023,1 час назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_345m_13et._2793978319,5990000,1,34.5,173623,1,3,Невский,"ул. Шелгунова, 6к2",Пролетарская,6–10 мин.,19.04.2023,1 час назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35m_715et._2976145101,7700000,1,35.0,220000,7,15,Невский,"Шлиссельбургский пр-т, 24к1",Рыбацкое,6–10 мин.,19.04.2023,2 часа назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_476m_723et._2976573576,12893750,1,47.6,270877,7,23,Невский,"ул. Дыбенко, 2",Улица Дыбенко,21–30 мин.,19.04.2023,2 часа назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_316m_45et._2662549547,5700000,1,31.6,180379,4,5,Невский,"ул. Ольги Берггольц, 18",Елизаровская,до 5 мин.,19.04.2023,8 часов назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_415m_815et._2939899840,7750000,1,41.5,186746,8,15,Невский,"ул. Крыленко, 1к1с8",Ломоносовская,от 31 мин.,19.04.2023,1 час назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_702m_610et._2595867213,13800000,3,70.2,196581,6,10,Невский,"ул. Коллонтай, 28к1",Проспект Большевиков,11–15 мин.,12.04.2023,1 неделю назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_506m_39et._2949318573,7250000,2,50.6,143280,3,9,Невский,"ул. Тельмана, 40",Улица Дыбенко,21–30 мин.,19.04.2023,3 часа назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_385m_1212et._3089934154,6000000,1,38.5,155844,12,12,Невский,"ул. Коллонтай, 21к1",Проспект Большевиков,до 5 мин.,19.04.2023,4 часа назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_64m_1025et._2815092539,12500000,2,64.0,195312,10,25,Невский,"ул. Дыбенко, 4к1",Улица Дыбенко,21–30 мин.,19.04.2023,2 часа назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_40m_418et._2446099115,5700000,1,40.0,142500,4,18,Невский,"Товарищеский пр-т, 38",Улица Дыбенко,11–15 мин.,18.04.2023,1 день назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_478m_316et._2949501528,9500000,2,47.8,198744,3,16,Невский,"Российский пр-т, 14",Проспект Большевиков,16–20 мин.,19.04.2023,4 часа назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_414m_15et._2371166267,5100000,2,41.4,123188,1,5,Невский,"Октябрьская наб., 122к2",Обухово,от 31 мин.,19.04.2023,6 часов назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_505m_15et._2561186345,6500000,2,50.5,128712,1,5,Невский,"Санкт-Петербург, Караваевская улица, 41к3",Рыбацкое,11–15 мин.,19.04.2023,6 часов назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_35et._2807523078,11550000,3,60.0,192500,3,5,Невский,"ул. Дыбенко, 24к2",Улица Дыбенко,до 5 мин.,16.04.2023,3 дня назад
