,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_43m_2325et._2986259729,8900000,2,43.0,206976,23,25,Приморский,"пр-т Сизова, 21",Комендантский проспект,16–20 мин.,19.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_67et._2628762383,7999000,1,37.0,216189,6,7,Приморский,"ул. Оптиков, 37",Беговая,21–30 мин.,14.04.2023,5 дней назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_1112et._2925125652,13899999,1,37.0,375675,11,12,Приморский,"Белоостровская ул., 10к1",Лесная,11–15 мин.,16.04.2023,3 дня назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_216m_613et._2750136536,4999000,Студия,21.6,231435,6,13,Приморский,"Планерная ул., 93",Не указано,Не указано,19.04.2023,5 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_71m_117et._3005519085,10300000,3,71.0,145070,1,17,Приморский,"Камышовая ул., 6к1",Комендантский проспект,11–15 мин.,19.04.2023,4 часа назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_2225m_23et._2901458847,20000000,4,222.5,89887,2,3,Приморский,"Глухарская ул., 13к3",Комендантский проспект,от 31 мин.,19.04.2023,15 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36m_915et._2791850919,6800000,1,36.0,188888,9,15,Приморский,"Верхне-Каменская ул., 9к1",Не указано,Не указано,19.04.2023,2 часа назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_388m_212et._2887720940,11400000,1,38.8,293814,2,12,Приморский,"Плесецкая ул., 6",Комендантский проспект,от 31 мин.,18.04.2023,1 день назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_308m_29et._3017920721,6300000,1,30.8,204545,2,9,Приморский,"Богатырский пр-т, 7к3",Пионерская,6–10 мин.,19.04.2023,3 часа назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_306m_99et._2902703402,5980000,1,30.6,195424,9,9,Приморский,"Серебристый б-р, 24к2",Комендантский проспект,16–20 мин.,18.04.2023,1 день назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_337m_513et._2845886607,7000000,Студия,33.7,207715,5,13,Приморский,"Планерная ул., 97к1",Не указано,Не указано,19.04.2023,4 часа назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_241m_2227et._2713950121,4550000,Студия,24.1,188796,22,27,Приморский,"Верхне-Каменская ул., 5",Комендантский проспект,от 31 мин.,17.04.2023,2 дня назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1015m_1822et._2890254447,21999000,3,101.5,216738,18,22,Приморский,"пр-т Королёва, 65",Комендантский проспект,от 31 мин.,19.04.2023,5 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_814m_225et._2874098515,16400000,3,81.4,201474,2,25,Приморский,"Орлово-Денисовский пр-т, 17к1",Озерки,от 31 мин.,19.04.2023,9 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_368m_37et._2841524281,7500000,1,36.8,203804,3,7,Приморский,"1-я Утиная ул., 28",Озерки,21–30 мин.,19.04.2023,10 часов назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_336m_2125et._2791795775,6600000,1,33.6,196428,21,25,Приморский,"Верхне-Каменская ул., 7к1",Комендантский проспект,от 31 мин.,19.04.2023,2 часа назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_821m_417et._2783761781,16990000,3,82.1,206942,4,17,Приморский,"пр-т Сизова, 21к2",Комендантский проспект,16–20 мин.,14.04.2023,5 дней назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_419m_613et._2066977021,13800000,1,41.9,329355,6,13,Приморский,"Приморский пр-т, 62к1",Беговая,16–20 мин.,18.04.2023,1 день назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_322m_59et._2698616746,6500000,1,32.2,201863,5,9,Приморский,"Санкт-Петербург, аллея Котельникова, 5к1",Пионерская,16–20 мин.,19.04.2023,11 минут назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_92m_323et._2646729866,19000000,3,92.0,206521,3,23,Приморский,"Коломяжский пр-т, 26",Пионерская,до 5 мин.,18.04.2023,1 день назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_29m_2023et._2643922967,5900000,1,29.0,203448,20,23,Приморский,"Арцеуловская аллея, 21",Не указано,Не указано,14.04.2023,5 дней назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_919et._2856413448,10900000,2,52.0,209615,9,19,Приморский,"пр-т Королёва, 65",Комендантский проспект,от 31 мин.,19.04.2023,2 часа назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_329m_19et._2855843390,6290000,Студия,32.9,191185,1,9,Приморский,"наб. реки Каменки, 7к3",Проспект Просвещения,от 31 мин.,19.04.2023,2 часа назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335m_510et._2963144130,6900000,1,33.5,205970,5,10,Приморский,"ул. Щербакова, 3к1",Озерки,21–30 мин.,15.04.2023,4 дня назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_59m_1317et._2374061877,16999900,2,59.0,288133,13,17,Приморский,"Яхтенная ул., 24к2",Беговая,21–30 мин.,17.04.2023,2 дня назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_568m_1221et._3060551562,10500000,2,56.8,184859,12,21,Приморский,"Глухарская ул., 27к2",Комендантский проспект,от 31 мин.,19.04.2023,12 минут назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_212et._2737677723,6990000,2,50.0,139800,2,12,Приморский,"Ланское ш., 71",Пионерская,21–30 мин.,15.04.2023,4 дня назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_407m_1016et._2559161433,13950000,1,40.7,342751,10,16,Приморский,"Вазаский пер., 3",Чёрная речка,11–15 мин.,18.04.2023,1 день назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_604m_79et._3050392800,8190000,3,60.4,135596,7,9,Приморский,"Серебристый б-р, 22к3",Пионерская,11–15 мин.,19.04.2023,2 часа назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_48m_39et._2957170055,7500000,2,48.0,156250,3,9,Приморский,"Серебристый б-р, 34к1",Комендантский проспект,21–30 мин.,19.04.2023,3 часа назад
