,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_702m_34et._2635914174,17400000,3,70.2,247863,3,4,Адмиралтейский,"ул. Писарева, 1/118А",Василеостровская,21–30 мин.,15.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_913m_35et._2717625946,16990000,4,91.3,186089,3,5,Адмиралтейский,"6-я Красноармейская ул., 1",Технологический ин-т II,6–10 мин.,15.04.2023,5 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_668m_49et._2916444230,12000000,2,66.8,179640,4,9,Адмиралтейский,"Малодетскосельский пр-т, 40",Технологический ин-т II,6–10 мин.,10.04.2023,5 дней назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_1169m_33et._1849667113,20900000,5,116.9,178785,3,3,Адмиралтейский,"пер. Гривцова, 20",Спасская,до 5 мин.,15.04.2023,8 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_162m_26et._2725690645,4100000,Студия,16.2,253086,2,6,Адмиралтейский,"Лермонтовский пр-т, 8А",Садовая,16–20 мин.,15.04.2023,5 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24m_23et._2801452423,4090000,Студия,24.0,170416,2,3,Адмиралтейский,"пр-т Римского-Корсакова, 29",Садовая,11–15 мин.,08.04.2023,1 неделю назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_161m_23et._2968573215,2800000,Студия,16.1,173913,2,3,Адмиралтейский,"наб. Обводного канала, 211-213",Нарвская,11–15 мин.,15.04.2023,10 часов назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_171m_14et._2869889859,4101000,Студия,17.1,239824,1,4,Адмиралтейский,"наб. реки Фонтанки, 87",Сенная площадь,6–10 мин.,15.04.2023,8 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_178m_24et._2870093634,3550000,Студия,17.8,199438,2,4,Адмиралтейский,"наб. Обводного канала, 142/16Б",Нарвская,11–15 мин.,15.04.2023,7 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_172m_24et._2869923406,3425000,Студия,17.2,199127,2,4,Адмиралтейский,"наб. Обводного канала, 142/16Б",Нарвская,11–15 мин.,15.04.2023,4 часа назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_234m_1417et._2746489843,8350000,Студия,23.4,356837,14,17,Адмиралтейский,"Парфёновская ул., 14к1",Фрунзенская,11–15 мин.,15.04.2023,18 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_188m_15et._2789008275,3750000,Студия,18.8,199468,1,5,Адмиралтейский,"Санкт-Петербург, Английский проспект, 20",Садовая,21–30 мин.,15.04.2023,10 часов назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_148m_24et._2741817886,3150000,Студия,14.8,212837,2,4,Адмиралтейский,"наб. Обводного канала, 142/16Б",Нарвская,11–15 мин.,15.04.2023,10 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_64m_713et._2677197622,15100000,2,64.0,235937,7,13,Адмиралтейский,"Измайловский б-р, 4к1",Балтийская,11–15 мин.,11.04.2023,4 дня назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_94m_25et._2805635568,39451267,3,94.0,419694,2,5,Адмиралтейский,"наб. канала Грибоедова, 49",Сенная площадь,6–10 мин.,14.04.2023,1 день назад
