,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_129m_12et._2710577990,2810000,Студия,12.9,217829,1,2,Василеостровский,"15-я линия Васильевского острова, 64",Василеостровская,11–15 мин.,17.04.2023,10 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_617et._2820249221,4555777,1,31.0,146960,6,17,Василеостровский,"ул. Челюскина, 2",Приморская,от 31 мин.,03.04.2023,2 недели назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_49m_1617et._2518420692,13499000,2,49.0,275489,16,17,Василеостровский,"ул. Кораблестроителей, 16к3",Приморская,21–30 мин.,17.04.2023,7 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_368m_27et._2720334366,8990000,1,36.8,244293,2,7,Василеостровский,"Средний пр-т Васильевского острова, 58/36",Василеостровская,6–10 мин.,17.04.2023,23 часа назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_583m_1519et._2790717313,9800000,1,58.3,168096,15,19,Василеостровский,"б-р Александра Грина, 1",Приморская,от 31 мин.,17.04.2023,3 часа назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_432m_15et._2912043753,8300000,2,43.2,192129,1,5,Василеостровский,"Наличная ул., 37к4",Приморская,11–15 мин.,17.04.2023,15 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_237m_912et._2515455428,7800000,Студия,23.7,329113,9,12,Василеостровский,"Уральская ул., 21",Приморская,21–30 мин.,13.04.2023,4 дня назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_842m_1316et._2452874380,16200000,3,84.2,192399,13,16,Василеостровский,"Морская наб., 31к1",Приморская,21–30 мин.,17.04.2023,12 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_267m_1015et._2845698114,5150000,Студия,26.7,192883,10,15,Василеостровский,"б-р Александра Грина, 3",Приморская,от 31 мин.,12.04.2023,5 дней назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1301m_1317et._2901614997,31500000,3,130.1,242121,13,17,Василеостровский,"ул. Нахимова, 20",Приморская,16–20 мин.,11.04.2023,6 дней назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_90m_213et._2751247769,18600000,3,90.0,206666,2,13,Василеостровский,"ул. Кораблестроителей, 30",Приморская,16–20 мин.,17.04.2023,11 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_359m_46et._2922696275,6300000,Студия,35.9,175487,4,6,Василеостровский,"11-я линия Васильевского острова, 46",Василеостровская,6–10 мин.,03.04.2023,2 недели назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_80m_1516et._2536475150,17500000,2,80.0,218750,15,16,Василеостровский,"Санкт-Петербург, Морская набережная, 39к2",Приморская,21–30 мин.,17.04.2023,10 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_131m_911et._2883200034,40000000,4,131.0,305343,9,11,Василеостровский,"18-я линия Васильевского острова, 49",Василеостровская,16–20 мин.,13.04.2023,4 дня назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_379m_512et._3090526540,12000000,1,37.9,316622,5,12,Василеостровский,"Уральская ул., 21",Приморская,16–20 мин.,11.04.2023,6 дней назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1483m_1319et._2478933479,42000000,3,148.3,283209,13,19,Василеостровский,"ул. Кораблестроителей, 30",Приморская,16–20 мин.,17.04.2023,1 час назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1116m_716et._2779282684,31805000,3,111.6,284991,7,16,Василеостровский,"Санкт-Петербург, Малый проспект Васильевского острова, 90",Приморская,16–20 мин.,12.04.2023,5 дней назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1095m_25et._2824069298,20700000,3,109.5,189041,2,5,Василеостровский,"Средний пр-т Васильевского острова, 49",Василеостровская,6–10 мин.,17.04.2023,2 часа назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_24m_1115et._2837512303,5490000,Студия,24.0,228750,11,15,Василеостровский,"б-р Александра Грина, 3",Приморская,от 31 мин.,14.04.2023,3 дня назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_405m_45et._2924771293,7300000,2,40.5,180246,4,5,Василеостровский,"Гаванская ул., 12",Приморская,21–30 мин.,10.04.2023,1 неделю назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_538m_66et._2667143524,10750000,2,53.8,199814,6,6,Василеостровский,"Опочинина ул., 29",Приморская,21–30 мин.,17.04.2023,12 часов назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_764m_56et._2550557733,14450000,2,76.4,189136,5,6,Василеостровский,"8-я линия Васильевского острова, 75",Василеостровская,6–10 мин.,17.04.2023,2 часа назад
