,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_304m_1718et._2918486723,6000000,Студия,30.4,197368,17,18,Московский,"Дунайский пр-т, 7к7",Звёздная,16–20 мин.,16.04.2023,14 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_25et._3060096300,10690000,2,42.0,254523,2,5,Московский,"ул. Ленсовета, 80",Звёздная,до 5 мин.,12.04.2023,4 дня назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_376m_1718et._2906204725,8700000,1,37.6,231382,17,18,Московский,"Среднерогатская ул., 12к1",Звёздная,16–20 мин.,16.04.2023,13 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_857m_36et._2613169082,16500000,4,85.7,192532,3,6,Московский,"Смоленская ул., 7",Фрунзенская,6–10 мин.,16.04.2023,12 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_56m_724et._2982651076,17200000,2,56.0,307142,7,24,Московский,"Среднерогатская ул., 11",Звёздная,21–30 мин.,16.04.2023,1 час назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_385m_812et._2926942931,10950000,1,38.5,284415,8,12,Московский,"Среднерогатская ул., 11",Звёздная,21–30 мин.,16.04.2023,13 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_2525et._2958310020,17900000,3,68.0,263235,25,25,Московский,"пр-т Космонавтов, 102к1",Купчино,6–10 мин.,16.04.2023,16 часов назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_927m_924et._2778966739,19990000,3,92.7,215641,9,24,Московский,"Пулковское ш., 38к7",Звёздная,от 31 мин.,10.04.2023,6 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_115m_2525et._2444379835,18240000,4,115.0,158608,25,25,Московский,"Санкт-Петербург, проспект Космонавтов, 102к1",Купчино,6–10 мин.,15.04.2023,1 день назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_244m_35et._2970444085,4199000,Студия,24.4,172090,3,5,Московский,"Пулковское ш., 73к3",Не указано,Не указано,12.04.2023,4 дня назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_42m_25et._2769695659,8550000,2,42.0,203571,2,5,Московский,"Новоизмайловский пр-т, 18к1",Парк Победы,11–15 мин.,16.04.2023,2 часа назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_557m_616et._2692822018,10000002,2,55.7,179533,6,16,Московский,"Дунайский пр-т, 24",Звёздная,до 5 мин.,16.04.2023,12 часов назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35m_818et._2021879848,7650000,1,35.0,218571,8,18,Московский,"пр-т Космонавтов, 104к1",Купчино,6–10 мин.,13.04.2023,3 дня назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_792m_910et._2793800049,15000000,3,79.2,189393,9,10,Московский,"Витебский пр-т, 61к5",Звёздная,21–30 мин.,16.04.2023,1 час назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_43m_224et._2995924552,14497000,1,43.0,337139,2,24,Московский,"ул. Типанова, 23с1",Московская,16–20 мин.,16.04.2023,5 часов назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_495m_35et._2541578763,6600000,4,49.5,133333,3,5,Московский,"ул. Костюшко, 98",Московская,11–15 мин.,13.04.2023,3 дня назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_45et._2909411988,3900000,Студия,20.0,195000,4,5,Московский,"Смоленская ул., 31/20",Фрунзенская,6–10 мин.,16.04.2023,6 часов назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_797m_224et._2338862741,16700000,2,79.7,209535,2,24,Московский,"пр-т Космонавтов, 61к2",Звёздная,11–15 мин.,16.04.2023,10 часов назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_26et._2499606933,3150000,Студия,20.0,157500,2,6,Московский,"Яковлевский пер., 5",Электросила,11–15 мин.,09.04.2023,1 неделю назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_15et._2859789663,7049999,2,46.0,153260,1,5,Московский,"Витебский пр-т, 33к1",Московская,21–30 мин.,26.03.2023,3 недели назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_1625et._2957463417,8200000,1,34.0,241176,16,25,Московский,"Дунайский пр-т, 14к1",Звёздная,11–15 мин.,14.04.2023,2 дня назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_491m_15et._2457096735,6750000,4,49.1,137474,1,5,Московский,"Санкт-Петербург, Кубинская улица, 70к1",Ленинский проспект,16–20 мин.,16.04.2023,13 часов назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_1720et._2956234034,7400000,1,31.0,238709,17,20,Московский,"Дунайский пр-т, 28к2",Звёздная,11–15 мин.,16.04.2023,12 часов назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_664m_1015et._2408810554,10500000,2,66.4,158132,10,15,Московский,"Пулковское ш., 42к6",Звёздная,от 31 мин.,16.04.2023,9 часов назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_124m_15et._2897694762,2847400,Студия,12.4,229629,1,5,Московский,"Варшавская ул., 37к2",Парк Победы,11–15 мин.,16.04.2023,4 часа назад
