,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_59et._2888508403,10300000,3,60.0,171666,5,9,Приморский,"Серебристый б-р, 5к1",Пионерская,11–15 мин.,17.04.2023,5 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_43m_2325et._2986259729,8900000,2,43.0,206976,23,25,Приморский,"пр-т Сизова, 21",Комендантский проспект,16–20 мин.,17.04.2023,9 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_310et._2888487352,6800000,1,37.0,183783,3,10,Приморский,"пр-т Королёва, 46к3",Комендантский проспект,21–30 мин.,17.04.2023,5 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_565m_55et._2888324856,8500000,3,56.5,150442,5,5,Приморский,"Ланское ш., 20к3",Пионерская,21–30 мин.,17.04.2023,5 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_40m_1825et._2811765252,8199000,1,40.0,204975,18,25,Приморский,"Санкт-Петербург, проспект Королёва, 65",Комендантский проспект,от 31 мин.,17.04.2023,3 часа назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_1112et._2925125652,13950000,1,37.0,377027,11,12,Приморский,"Белоостровская ул., 10к1",Лесная,11–15 мин.,17.04.2023,1 час назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36m_915et._2791850919,6800000,1,36.0,188888,9,15,Приморский,"Верхне-Каменская ул., 9к1",Не указано,Не указано,17.04.2023,5 часов назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_1822et._2580134530,10200000,1,37.0,275675,18,22,Приморский,"Санкт-Петербург, улица Оптиков, 34к1",Беговая,21–30 мин.,17.04.2023,15 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_204m_1013et._2607551097,3890000,Студия,20.4,190686,10,13,Приморский,"Планерная ул., 95к1",Не указано,Не указано,17.04.2023,12 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246m_1124et._2883066834,5300000,Студия,24.6,215447,11,24,Приморский,"Плесецкая ул., 10",Комендантский проспект,от 31 мин.,13.04.2023,4 дня назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_365m_313et._2888052800,7000000,1,36.5,191780,3,13,Приморский,"пр-т Авиаконструкторов, 61",Комендантский проспект,от 31 мин.,17.04.2023,5 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_326m_49et._2750311647,6295000,1,32.6,193098,4,9,Приморский,"Серебристый б-р, 34к1",Комендантский проспект,21–30 мин.,17.04.2023,2 часа назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_59m_910et._2604718664,9200000,2,59.0,155932,9,10,Приморский,"Стародеревенская ул., 19к1",Старая деревня,16–20 мин.,17.04.2023,15 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_1821et._2394191518,10600000,2,52.0,203846,18,21,Приморский,"Санкт-Петербург, Полевая Сабировская улица, 45к1",Старая деревня,21–30 мин.,17.04.2023,4 часа назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_61m_1119et._2903290334,10300000,2,61.0,168852,11,19,Приморский,"Парашютная ул., 56к3",Комендантский проспект,от 31 мин.,17.04.2023,1 час назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_37m_225et._2856648578,8350000,1,37.0,225675,2,25,Приморский,"Комендантский пр-т, 65",Комендантский проспект,от 31 мин.,17.04.2023,5 часов назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_189m_1313et._2887940006,4800000,Студия,18.9,253968,13,13,Приморский,"ул. Матроса Железняка, 2",Чёрная речка,11–15 мин.,17.04.2023,5 часов назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_302m_1011et._2976517765,9100000,1,30.2,301324,10,11,Приморский,"Торфяная дорога, 13",Старая деревня,6–10 мин.,17.04.2023,6 часов назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_39m_512et._2745908514,8600000,1,39.0,220512,5,12,Приморский,"Санкт-Петербург, улица Савушкина, 133к3",Беговая,6–10 мин.,10.04.2023,1 неделю назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_205m_513et._2814169089,5250000,Студия,20.5,256097,5,13,Приморский,"Планерная ул., 91к1",Комендантский проспект,от 31 мин.,17.04.2023,2 часа назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_444m_25et._2881307950,5990000,1,44.4,134909,2,5,Приморский,"Юнтоловский пр-т, 51к3",Не указано,Не указано,17.04.2023,8 часов назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_336m_2125et._2791795775,6600000,1,33.6,196428,21,25,Приморский,"Верхне-Каменская ул., 7к1",Комендантский проспект,от 31 мин.,17.04.2023,5 часов назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_442m_824et._2887833983,9500000,1,44.2,214932,8,24,Приморский,"Шуваловский пр-т, 37к1",Комендантский проспект,от 31 мин.,17.04.2023,2 часа назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_71m_117et._3005519085,10300000,3,71.0,145070,1,17,Приморский,"Камышовая ул., 6к1",Комендантский проспект,11–15 мин.,17.04.2023,14 часов назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_110et._2908300860,4900000,1,34.0,144117,1,10,Приморский,"Комендантский пр-т, 30к2",Комендантский проспект,11–15 мин.,12.04.2023,5 дней назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_212et._2737677723,6990000,2,50.0,139800,2,12,Приморский,"Ланское ш., 71",Пионерская,21–30 мин.,17.04.2023,7 часов назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_329m_19et._2855843390,6340000,Студия,32.9,192705,1,9,Приморский,"наб. реки Каменки, 7к3",Проспект Просвещения,от 31 мин.,17.04.2023,5 часов назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_388m_212et._2819547486,7200000,1,38.8,185567,2,12,Приморский,"Приморский пр-т, 141к2",Беговая,6–10 мин.,17.04.2023,9 часов назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_30m_1524et._2977844222,5170000,Студия,30.0,172333,15,24,Приморский,"Арцеуловская аллея, 19",Не указано,Не указано,17.04.2023,6 часов назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_45m_25et._2815250484,10500000,1,45.0,233333,2,5,Приморский,"3-я линия 1-й половины, 12",Удельная,16–20 мин.,15.04.2023,2 дня назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_216m_613et._2750136536,4950000,Студия,21.6,229166,6,13,Приморский,"Планерная ул., 93",Не указано,Не указано,17.04.2023,2 часа назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_373m_317et._2700546455,7490000,1,37.3,200804,3,17,Приморский,"Санкт-Петербург, улица Лидии Зверевой, 9к2",Комендантский проспект,от 31 мин.,17.04.2023,3 часа назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_303m_1721et._2892886364,6230000,Студия,30.3,205610,17,21,Приморский,"Богатырский пр-т, 2А",Пионерская,6–10 мин.,13.04.2023,4 дня назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_392m_1417et._2888444253,7500000,1,39.2,191326,14,17,Приморский,"Стародеревенская ул., 6к3",Старая деревня,11–15 мин.,17.04.2023,2 часа назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_236m_1121et._2814890536,4730000,Студия,23.6,200423,11,21,Приморский,"Полевая Сабировская ул., 45к1",Старая деревня,21–30 мин.,17.04.2023,2 часа назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_414m_66et._2744876766,6550000,2,41.4,158212,6,6,Приморский,"Ланское ш., 43",Чёрная речка,16–20 мин.,16.04.2023,1 день назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_33m_1516et._2673859812,6500000,Студия,33.0,196969,15,16,Приморский,"Туристская ул., 24/42",Беговая,16–20 мин.,17.04.2023,2 часа назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_98m_88et._2996256835,14950000,3,98.0,152551,8,8,Приморский,"Горная ул., 1к1",Удельная,16–20 мин.,17.04.2023,4 часа назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27m_513et._2943767697,5770000,Студия,27.0,213703,5,13,Приморский,"Студенческая ул., 14к2",Лесная,16–20 мин.,17.04.2023,11 часов назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_459m_112et._2937784745,7190000,1,45.9,156644,1,12,Приморский,"пр-т Королёва, 50к1",Комендантский проспект,21–30 мин.,17.04.2023,23 часа назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_331m_420et._3073806939,5999999,1,33.1,181268,4,20,Приморский,"Парашютная ул., 61к1",Комендантский проспект,от 31 мин.,17.04.2023,6 часов назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_913et._2720011234,5250000,1,34.0,154411,9,13,Приморский,"Гладышевский пр-т, 38к4",Не указано,Не указано,16.04.2023,1 день назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_548m_1616et._2856326286,9090000,2,54.8,165875,16,16,Приморский,"Санкт-Петербург, проспект Авиаконструкторов, 31к1",Комендантский проспект,21–30 мин.,17.04.2023,15 часов назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_428m_28et._2904091610,8600000,1,42.8,200934,2,8,Приморский,"1-я Утиная ул., 28",Озерки,21–30 мин.,17.04.2023,7 часов назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_814m_225et._2874098515,16400000,3,81.4,201474,2,25,Приморский,"Орлово-Денисовский пр-т, 17к1",Озерки,от 31 мин.,17.04.2023,14 часов назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_337m_513et._2845886607,7000000,Студия,33.7,207715,5,13,Приморский,"Планерная ул., 97к1",Не указано,Не указано,17.04.2023,2 часа назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_392m_1919et._2806442039,5400000,1,39.2,137755,19,19,Приморский,"Парашютная ул., 58",Комендантский проспект,от 31 мин.,27.03.2023,3 недели назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_40m_1010et._2743267414,8300000,1,40.0,207500,10,10,Приморский,"ул. Савушкина, 123к1",Беговая,11–15 мин.,11.04.2023,6 дней назад
48,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_919et._2856413448,10900000,2,52.0,209615,9,19,Приморский,"пр-т Королёва, 65",Комендантский проспект,от 31 мин.,17.04.2023,5 часов назад
49,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_65m_516et._2813462782,10650000,2,65.0,163846,5,16,Приморский,"Богатырский пр-т, 56к1",Беговая,21–30 мин.,17.04.2023,12 часов назад
