,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/3-k._kvartira_711m_16et._2921944235,13300000,3,71.1,187060,1,6,Пушкинский,"Ахматовская ул., 6",Не указано,Не указано,16.04.2023,3 дня назад
1,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/3-k._kvartira_655m_24et._2893738407,16900000,3,65.5,258015,2,4,Пушкинский,"Сапёрная ул., 44к3",Не указано,Не указано,14.04.2023,5 дней назад
2,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_33m_55et._2824811660,6000000,1,33.0,181818,5,5,Пушкинский,"ул. Генерала Хазова, 4",Не указано,Не указано,13.04.2023,6 дней назад
3,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_433m_25et._2763950929,7700000,2,43.3,177829,2,5,Пушкинский,"Санкт-Петербург, Пушкин, Артиллерийская улица, 8",Не указано,Не указано,19.04.2023,2 часа назад
4,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_31m_23et._2727759034,5200000,1,31.0,167741,2,3,Пушкинский,"Сапёрная ул., 47",Не указано,Не указано,14.04.2023,5 дней назад
5,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_46m_56et._2565570480,5800000,2,46.0,126086,5,6,Пушкинский,"д. Малое Карлино, 25",Не указано,Не указано,18.04.2023,1 день назад
6,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_321m_46et._2858988374,4500000,1,32.1,140186,4,6,Пушкинский,"д. Малое Карлино, 25",Не указано,Не указано,19.04.2023,2 часа назад
7,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/kvartira-studiya_308m_15et._2358908264,5300000,Студия,30.8,172077,1,5,Пушкинский,"Ахматовская ул., 31",Не указано,Не указано,17.04.2023,2 дня назад
8,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/kvartira-studiya_288m_56et._2958228311,3000000,Студия,28.8,104166,5,6,Пушкинский,"Сапёрная ул., 53",Не указано,Не указано,19.04.2023,14 часов назад
9,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_371m_27et._2709319352,5300000,1,37.1,142857,2,7,Пушкинский,"Детскосельский б-р, 9",Не указано,Не указано,17.04.2023,2 дня назад
10,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_51m_44et._2923878240,9950000,2,51.0,195098,4,4,Пушкинский,"Новая ул., 26/50",Не указано,Не указано,19.04.2023,16 часов назад
11,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/1-k._kvartira_42m_45et._2675905102,6800000,1,42.0,161904,4,5,Пушкинский,"Санкт-Петербург, Пушкин, улица Архитектора Данини, 1/19",Не указано,Не указано,18.04.2023,1 день назад
