,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_284m_24et._2836997315,4950000,Студия,28.4,174295,2,4,Адмиралтейский,"Лермонтовский пр-т, 10/53",Садовая,16–20 мин.,19.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_348m_56et._2613554523,6840000,Студия,34.8,196551,5,6,Адмиралтейский,"Загородный пр-т, 45",Пушкинская,до 5 мин.,19.04.2023,4 часа назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_134m_25et._2957814176,3350000,Студия,13.4,250000,2,5,Адмиралтейский,"Бородинская ул., 15",Звенигородская,до 5 мин.,19.04.2023,8 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_207m_14et._2818881332,3845000,Студия,20.7,185748,1,4,Адмиралтейский,"Подольская ул., 14",Технологический ин-т I,6–10 мин.,19.04.2023,5 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_668m_49et._2916444230,12000000,2,66.8,179640,4,9,Адмиралтейский,"Малодетскосельский пр-т, 40",Технологический ин-т II,6–10 мин.,18.04.2023,1 день назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_10m_16et._2883699429,2045000,Студия,10.0,204500,1,6,Адмиралтейский,"Почтамтская ул., 23",Адмиралтейская,11–15 мин.,19.04.2023,7 часов назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_214m_14et._2870246425,4375000,Студия,21.4,204439,1,4,Адмиралтейский,"наб. Обводного канала, 142/16Б",Нарвская,11–15 мин.,19.04.2023,2 часа назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_1169m_33et._1849667113,20800000,5,116.9,177929,3,3,Адмиралтейский,"пер. Гривцова, 20",Спасская,до 5 мин.,19.04.2023,6 часов назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_148m_24et._2742126066,2950000,Студия,14.8,199324,2,4,Адмиралтейский,"наб. Обводного канала, 142/16Б",Нарвская,11–15 мин.,19.04.2023,9 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_161m_23et._2968573215,2800000,Студия,16.1,173913,2,3,Адмиралтейский,"наб. Обводного канала, 211-213",Нарвская,11–15 мин.,18.04.2023,1 день назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_482m_1111et._2664519731,16500000,1,48.2,342323,11,11,Адмиралтейский,"Московский пр-т, 71к2",Фрунзенская,до 5 мин.,15.04.2023,4 дня назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_145m_45et._2860136662,2919000,Студия,14.5,201310,4,5,Адмиралтейский,"Садовая ул., 118",Балтийская,21–30 мин.,18.04.2023,1 день назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_70m_35et._2792647216,14900000,3,70.0,212857,3,5,Адмиралтейский,"Рижский пр-т, 60",Нарвская,16–20 мин.,19.04.2023,8 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_601m_14et._2781777950,8490000,2,60.1,141264,1,4,Адмиралтейский,"пр-т Римского-Корсакова, 49",Садовая,16–20 мин.,19.04.2023,4 часа назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_224m_56et._2884878500,5839680,Студия,22.4,260700,5,6,Адмиралтейский,"Большой Казачий пер., 10",Пушкинская,до 5 мин.,19.04.2023,9 часов назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_225m_57et._2853578499,5865750,Студия,22.5,260700,5,7,Адмиралтейский,"Большой Казачий пер., 10",Пушкинская,до 5 мин.,19.04.2023,7 часов назад
