,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1203m_26et._2945378790,16400000,4,120.3,136325,2,6,Калининский,"Лесной пр-т, 13",Площадь Ленина,6–10 мин.,19.04.2023,4 часа назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_385m_1216et._2749911079,6150000,1,38.5,159740,12,16,Калининский,"ул. Демьяна Бедного, 1к2",Гражданский проспект,21–30 мин.,19.04.2023,4 часа назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_578m_25et._2846673243,9000000,3,57.8,155709,2,5,Калининский,"ул. Хлопина, 9к1",Площадь Мужества,6–10 мин.,19.04.2023,3 часа назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_455m_39et._2813822997,6700000,2,45.5,147252,3,9,Калининский,"ул. Ушинского, 17к1",Гражданский проспект,6–10 мин.,19.04.2023,3 часа назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_308m_45et._2793279132,6060000,1,30.8,196753,4,5,Калининский,"Тихорецкий пр-т, 9к9",Политехническая,6–10 мин.,19.04.2023,1 час назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_544m_35et._2778390765,7350000,3,54.4,135110,3,5,Калининский,"Гражданский пр-т, 125к2",Гражданский проспект,6–10 мин.,13.04.2023,6 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_55et._2881118305,5490000,2,46.0,119347,5,5,Калининский,"Северный пр-т, 87к4",Академическая,21–30 мин.,19.04.2023,51 минуту назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55m_822et._2591492758,13000000,2,55.0,236363,8,22,Калининский,"Гжатская ул., 22к3",Академическая,6–10 мин.,18.04.2023,1 день назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_311m_99et._2948448844,5299925,1,31.1,170415,9,9,Калининский,"Замшина ул., 27к1",Площадь Мужества,от 31 мин.,14.04.2023,5 дней назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/8-k._kvartira_121m_44et._2976745268,19900000,8,121.0,164462,4,4,Калининский,"ул. Комсомола, 35",Площадь Ленина,до 5 мин.,19.04.2023,6 часов назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_324m_49et._3028201939,6450000,1,32.4,199074,4,9,Калининский,"ул. Руставели, 50",Гражданский проспект,16–20 мин.,19.04.2023,5 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_35et._2799079217,5900000,1,31.0,190322,3,5,Калининский,"ул. Карпинского, 36к2",Академическая,21–30 мин.,15.04.2023,4 дня назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_12m_19et._2851712758,2410000,Студия,12.0,200833,1,9,Калининский,"пр-т Луначарского, 78к1",Гражданский проспект,от 31 мин.,15.04.2023,4 дня назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_955m_812et._2904021089,17200000,3,95.5,180104,8,12,Калининский,"пр-т Просвещения, 53к4",Гражданский проспект,21–30 мин.,15.04.2023,4 дня назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_453m_45et._2855534474,6800000,2,45.3,150110,4,5,Калининский,"Пискарёвский пр-т, 56к1, этаж 4",Академическая,от 31 мин.,19.04.2023,22 часа назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_429m_2325et._2754906810,10950000,1,42.9,255244,23,25,Калининский,"Кондратьевский пр-т, 62к7",Лесная,от 31 мин.,19.04.2023,4 часа назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_441m_19et._2642508880,7000000,2,44.1,158730,1,9,Калининский,"пр-т Луначарского, 80к5",Гражданский проспект,от 31 мин.,18.04.2023,1 день назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_61m_225et._2879296557,12800000,2,61.0,209836,2,25,Калининский,"Бестужевская ул., 7к3",Площадь Мужества,от 31 мин.,19.04.2023,22 часа назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_317m_25et._2623797126,7500000,1,31.7,236593,2,5,Калининский,"Санкт-Петербург, улица Бутлерова, 20",Академическая,16–20 мин.,16.04.2023,3 дня назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_473m_59et._2875267932,6600000,2,47.3,139534,5,9,Калининский,"пр-т Луначарского, 78к1",Гражданский проспект,от 31 мин.,17.04.2023,2 дня назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_79et._2688887415,7500000,2,44.3,169300,7,9,Калининский,"Санкт-Петербург, Гражданский проспект, 75к1",Академическая,6–10 мин.,17.04.2023,2 дня назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_424m_35et._2735217560,5500000,2,42.4,129716,3,5,Калининский,"Бестужевская ул., 30",Площадь Мужества,от 31 мин.,19.04.2023,5 часов назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_47m_614et._2414823440,11600000,2,47.0,246808,6,14,Калининский,"Санкт-Петербург, проспект Маршала Блюхера, 9к2",Выборгская,21–30 мин.,12.04.2023,1 неделю назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_463m_69et._2735573225,8000000,2,46.3,172786,6,9,Калининский,"Гражданский пр-т, 33",Академическая,6–10 мин.,19.04.2023,5 часов назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_58m_89et._2651088669,8500000,3,58.0,146551,8,9,Калининский,"ул. Академика Байкова, 17к1",Политехническая,21–30 мин.,17.04.2023,2 дня назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_453m_55et._3089790738,7400000,2,45.3,163355,5,5,Калининский,"Замшина ул., 21",Выборгская,от 31 мин.,19.04.2023,2 часа назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_55et._2888826768,5390000,2,46.0,117173,5,5,Калининский,"Ключевая ул., 15",Академическая,от 31 мин.,17.04.2023,2 дня назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_239m_2424et._2744131776,5400000,Студия,23.9,225941,24,24,Калининский,"Кондратьевский пр-т, 68к4",Площадь Мужества,от 31 мин.,18.04.2023,1 день назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_891m_415et._2303110208,16800000,3,89.1,188552,4,15,Калининский,"Санкт-Петербург, Богословская ул., 4к2",Лесная,21–30 мин.,16.04.2023,3 дня назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_79et._2381797381,5300000,1,31.0,170967,7,9,Калининский,"ул. Фаворского, 18",Академическая,16–20 мин.,17.04.2023,2 дня назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_454m_99et._3017980956,8300000,2,45.4,182819,9,9,Калининский,"ул. Академика Байкова, 5к1",Политехническая,21–30 мин.,19.04.2023,6 часов назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_47m_79et._2925248382,10850000,2,47.0,230851,7,9,Калининский,"Замшина ул., 27к1",Площадь Мужества,от 31 мин.,15.04.2023,4 дня назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31m_39et._2619640836,5600000,1,31.0,180645,3,9,Калининский,"ул. Брянцева, 2к1",Гражданский проспект,16–20 мин.,17.04.2023,2 дня назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_89et._2871291379,6600000,2,52.0,126923,8,9,Калининский,"пр-т Культуры, 11к1",Проспект Просвещения,от 31 мин.,17.04.2023,2 дня назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_421m_27et._2926534320,8000000,1,42.1,190023,2,7,Калининский,"ул. Ушинского, 3к3",Гражданский проспект,11–15 мин.,14.04.2023,5 дней назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_343m_1212et._2910882860,14500000,1,34.3,422740,12,12,Калининский,"Гжатская ул., 22к1",Академическая,6–10 мин.,19.04.2023,7 часов назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_627m_49et._2903283739,10200000,3,62.7,162679,4,9,Калининский,"ул. Брянцева, 2к1",Гражданский проспект,16–20 мин.,12.04.2023,1 неделю назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_324m_612et._2948955278,5700000,1,32.4,175925,6,12,Калининский,"Светлановский пр-т, 71к2",Политехническая,16–20 мин.,17.04.2023,2 дня назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_29m_55et._2897493285,5100000,1,29.0,175862,5,5,Калининский,"Гражданский пр-т, 23к4",Академическая,11–15 мин.,18.04.2023,1 день назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_308m_112et._2800762254,5299999,1,30.8,172077,1,12,Калининский,"Светлановский пр-т, 77",Политехническая,21–30 мин.,19.04.2023,8 часов назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_524m_710et._3026402191,10700000,2,52.4,204198,7,10,Калининский,"Гражданский пр-т, 4",Площадь Мужества,11–15 мин.,18.04.2023,1 день назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_467m_19et._2731489139,7700000,2,46.7,164882,1,9,Калининский,"Суздальский пр-т, 105к1",Гражданский проспект,11–15 мин.,29.03.2023,3 недели назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_485m_14et._3020043924,14300000,2,48.5,294845,1,4,Калининский,"Политехническая ул., 29к2",Политехническая,до 5 мин.,19.04.2023,43 минуты назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_309m_59et._2839865697,5300000,1,30.9,171521,5,9,Калининский,"ул. Вавиловых, 4к2",Академическая,11–15 мин.,19.04.2023,1 час назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_14m_215et._2905006939,2790000,Студия,14.0,199285,2,15,Калининский,"Светлановский пр-т, 58к2",Гражданский проспект,21–30 мин.,14.04.2023,5 дней назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_64m_45et._2957080317,10200000,3,64.0,159375,4,5,Калининский,"ул. Ольги Форш, 3",Гражданский проспект,21–30 мин.,19.04.2023,9 часов назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_505m_714et._2866351116,7600000,2,50.5,150495,7,14,Калининский,"Северный пр-т, 69",Академическая,11–15 мин.,14.04.2023,5 дней назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_267m_917et._2995013603,5300000,Студия,26.7,198501,9,17,Калининский,"пр-т Маршала Блюхера, 7к3",Выборгская,21–30 мин.,19.04.2023,2 часа назад
