,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_245m_312et._2577319912,4350000,Студия,24.5,177551,3,12,Красносельский,"пр-т Ветеранов, 175/1",Не указано,Не указано,19.04.2023,1 час назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_535m_421et._2944064985,10600000,2,53.5,198130,4,21,Красносельский,"пр-т Героев, 27к1",Не указано,Не указано,19.04.2023,13 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_67m_15et._2760011854,7050000,5,67.0,105223,1,5,Красносельский,"ул. Пограничника Гарькавого, 35к2",Не указано,Не указано,16.04.2023,3 дня назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_314m_35et._2880166481,4750000,1,31.4,151273,3,5,Красносельский,"ул. Добровольцев, 52",Не указано,Не указано,19.04.2023,13 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_294m_1820et._2945074845,5300000,Студия,29.4,180272,18,20,Красносельский,"Ленинский пр-т, 82к1",Проспект Ветеранов,от 31 мин.,19.04.2023,34 минуты назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_455m_47et._2879257281,8699032,1,45.5,191187,4,7,Красносельский,"ул. Адмирала Трибуца, 8",Не указано,Не указано,19.04.2023,23 часа назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_487m_19et._2682756671,7550000,2,48.7,155030,1,9,Красносельский,"ул. Маршала Захарова, 15",Проспект Ветеранов,от 31 мин.,19.04.2023,2 часа назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_516m_1316et._2647017092,7650000,2,51.6,148255,13,16,Красносельский,"Санкт-Петербург, улица Маршала Захарова, 56",Проспект Ветеранов,от 31 мин.,14.04.2023,5 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_241m_116et._2915849013,4500000,Студия,24.1,186721,1,16,Красносельский,"ул. Адмирала Черокова, 18к1",Не указано,Не указано,16.04.2023,3 дня назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_434m_315et._2851588017,5300000,2,43.4,122119,3,15,Красносельский,"ул. Пионерстроя, 7к3",Не указано,Не указано,19.04.2023,10 часов назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_278m_715et._2939036979,5490000,1,27.8,197482,7,15,Красносельский,"ул. Рихарда Зорге, 10",Проспект Ветеранов,от 31 мин.,14.04.2023,5 дней назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_39et._2858497241,8300000,3,60.0,138333,3,9,Красносельский,"Авангардная ул., 3",Проспект Ветеранов,от 31 мин.,19.04.2023,3 часа назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_41m_414et._2723669758,9500000,1,41.0,231707,4,14,Красносельский,"ул. Адмирала Трибуца, 8",Не указано,Не указано,19.04.2023,20 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_625m_79et._2918360221,7700000,2,62.5,123200,7,9,Красносельский,"Петергофское ш., 72к4",Не указано,Не указано,16.04.2023,3 дня назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_70m_316et._2040679417,9990000,3,70.0,142714,3,16,Красносельский,"Санкт-Петербург, Ленинский проспект, 75к2",Проспект Ветеранов,от 31 мин.,19.04.2023,3 часа назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30m_13et._2970302981,3200000,1,30.0,106666,1,3,Красносельский,"ул. Пограничника Гарькавого, 51к2",Не указано,Не указано,13.04.2023,6 дней назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_327m_44et._2879630725,8210000,1,32.7,251070,4,4,Красносельский,"пр-т Ветеранов, 194",Не указано,Не указано,19.04.2023,2 часа назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_318m_99et._2878638704,4600000,1,31.8,144654,9,9,Красносельский,"ул. Тамбасова, 2к1",Не указано,Не указано,19.04.2023,1 час назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_291m_78et._3059849384,4350000,Студия,29.1,149484,7,8,Красносельский,"пр-т Ветеранов, 185к2",Не указано,Не указано,17.04.2023,2 дня назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34m_410et._2851545775,6700000,1,34.0,197058,4,10,Красносельский,"ул. Адмирала Черокова, 22",Не указано,Не указано,19.04.2023,4 часа назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_381m_410et._3026548359,8700000,1,38.1,228346,4,10,Красносельский,"ул. Адмирала Трибуца, 7",Не указано,Не указано,18.04.2023,1 день назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_405m_13et._2885217991,10500000,1,40.5,259259,1,3,Красносельский,"территория Горелово, Красносельское ш., 22",Не указано,Не указано,13.04.2023,6 дней назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_42m_1317et._2702236218,6700000,1,42.0,159523,13,17,Красносельский,"Санкт-Петербург, проспект Героев, 26к1",Не указано,Не указано,19.04.2023,23 часа назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_25et._2789724209,8990000,3,60.0,149833,2,5,Красносельский,"ул. Партизана Германа, 15к3",Проспект Ветеранов,от 31 мин.,29.03.2023,3 недели назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_474m_510et._2664017246,9200000,2,47.4,194092,5,10,Красносельский,"ул. Тамбасова, 3к1",Не указано,Не указано,19.04.2023,1 час назад
