,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_15m_24et._2926435279,3525000,Студия,15.0,235000,2,4,Петроградский,"Офицерский пер., 8Б",Чкаловская,6–10 мин.,19.04.2023,9 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27m_36et._3020738109,4499000,Студия,27.0,166629,3,6,Петроградский,"Большая Зеленина ул., 29",Чкаловская,6–10 мин.,19.04.2023,8 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1238m_88et._2859647261,79851000,4,123.8,645000,8,8,Петроградский,"Барочная ул., 6",Чкаловская,6–10 мин.,19.04.2023,7 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_555m_35et._2846191323,12500000,2,55.5,225225,3,5,Петроградский,"Пионерская ул., 63",Чкаловская,11–15 мин.,19.04.2023,5 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_25et._2853145346,4200000,Студия,20.0,210000,2,5,Петроградский,"Каменноостровский пр-т, 43",Петроградская,до 5 мин.,19.04.2023,8 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_130m_29et._2328587370,59000000,4,130.0,453846,2,9,Петроградский,"Большая Посадская ул., 12",Горьковская,6–10 мин.,13.04.2023,6 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_858m_56et._2925558809,17000000,4,85.8,198135,5,6,Петроградский,"Большая Зеленина ул., 2",Чкаловская,до 5 мин.,05.04.2023,2 недели назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_645m_813et._2876117277,18900000,2,64.5,293023,8,13,Петроградский,"пр-т Медиков, 10к7",Петроградская,11–15 мин.,13.04.2023,6 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_397m_16et._2865180102,13900000,1,39.7,350125,1,6,Петроградский,"Большой пр-т Петроградской стороны, 69",Петроградская,до 5 мин.,17.04.2023,2 дня назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_155m_25et._2833425579,3120000,Студия,15.5,201290,2,5,Петроградский,"Съезжинская ул., 27",Горьковская,11–15 мин.,13.04.2023,6 дней назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/6-k._kvartira_212m_66et._2457863742,89000000,6,212.0,419811,6,6,Петроградский,"Кронверкский пр-т, 23",Горьковская,до 5 мин.,18.04.2023,1 день назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_701m_77et._2750638304,13490000,3,70.1,192439,7,7,Петроградский,"Мытнинский пер., 10",Горьковская,11–15 мин.,18.04.2023,1 день назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_26et._2892475663,14300000,2,53.0,269811,2,6,Петроградский,"Ординарная ул., 12",Петроградская,до 5 мин.,19.04.2023,6 часов назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/7-k._kvartira_300m_1414et._2558412895,100000000,7,300.0,333333,14,14,Петроградский,"Дивенская ул., 5",Горьковская,6–10 мин.,12.04.2023,1 неделю назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_703m_35et._3074324313,13600000,3,70.3,193456,3,5,Петроградский,"ул. Воскова, 15-17",Горьковская,6–10 мин.,15.04.2023,4 дня назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18m_15et._2740286494,3700000,Студия,18.0,205555,1,5,Петроградский,"Гатчинская ул., 11",Чкаловская,6–10 мин.,19.04.2023,9 часов назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_108m_28et._2412171485,32250000,3,108.0,298611,2,8,Петроградский,"Петровский пр-т, 26к2",Крестовский остров,16–20 мин.,19.04.2023,3 часа назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_14m_24et._2733887525,3050000,Студия,14.0,217857,2,4,Петроградский,"Офицерский пер., 8Б",Чкаловская,6–10 мин.,15.04.2023,4 дня назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_775m_212et._2934483249,27500000,3,77.5,354838,2,12,Петроградский,"Барочная ул., 12",Чкаловская,11–15 мин.,18.04.2023,1 день назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_506m_35et._2503811149,12100000,2,50.6,239130,3,5,Петроградский,"Большая Зеленина ул., 36",Чкаловская,6–10 мин.,19.04.2023,6 часов назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55m_35et._2757222928,20800000,2,55.0,378181,3,5,Петроградский,"ул. Мира, 15к1",Горьковская,6–10 мин.,18.04.2023,1 день назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_741m_44et._2646863059,12300000,4,74.1,165991,4,4,Петроградский,"Санкт-Петербург, улица Блохина, 10",Горьковская,16–20 мин.,19.04.2023,5 часов назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55m_56et._2565393769,26000000,2,55.0,472727,5,6,Петроградский,"Кронверкский пр-т, 35",Горьковская,до 5 мин.,19.04.2023,2 часа назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_116m_45et._2924197125,2799000,Студия,11.6,241293,4,5,Петроградский,"ул. Куйбышева, 33/8",Горьковская,11–15 мин.,15.04.2023,4 дня назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_203m_38et._2935834056,78000000,4,203.0,384236,3,8,Петроградский,"Петровский пр-т, 11к2",Крестовский остров,16–20 мин.,18.04.2023,1 день назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_431m_26et._3002631621,12499000,2,43.1,290000,2,6,Петроградский,"Каменноостровский пр-т, 41",Петроградская,до 5 мин.,19.04.2023,19 часов назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/7-k._kvartira_128m_16et._2890632239,24500000,7,128.0,191406,1,6,Петроградский,"Съезжинская ул., 19",Чкаловская,11–15 мин.,19.04.2023,8 часов назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_2658m_814et._2933909987,132900000,4,265.8,500000,8,14,Петроградский,"Ждановская ул., 45",Чкаловская,16–20 мин.,18.04.2023,1 день назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_528m_67et._2367741496,12790000,3,52.8,242234,6,7,Петроградский,"Вязовая ул., 15",Крестовский остров,11–15 мин.,19.04.2023,6 часов назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_36et._2489821445,11500000,3,60.0,191666,3,6,Петроградский,"ул. Мира, 35",Горьковская,11–15 мин.,19.04.2023,4 часа назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_469m_55et._2904554286,9799000,1,46.9,208933,5,5,Петроградский,"Большая Зеленина ул., 13",Чкаловская,до 5 мин.,14.04.2023,5 дней назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_114m_810et._2788759649,58700000,3,114.0,514912,8,10,Петроградский,"Петровский пр-т, 14",Чкаловская,16–20 мин.,18.04.2023,1 день назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_79m_45et._2674103935,29876000,3,79.0,378177,4,5,Петроградский,"Ораниенбаумская ул., 13",Чкаловская,6–10 мин.,16.04.2023,3 дня назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_82m_812et._2948552111,42999000,2,82.0,524378,8,12,Петроградский,"Петровский пр-т, 5",Чкаловская,16–20 мин.,19.04.2023,4 часа назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_414m_614et._2976130889,13000000,1,41.4,314009,6,14,Петроградский,"пр-т Медиков, 10к2",Петроградская,11–15 мин.,19.04.2023,6 часов назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_86m_310et._2844356551,32800000,3,86.0,381395,3,10,Петроградский,"Санкт-Петербург, Петровский проспект, 5А",Чкаловская,16–20 мин.,18.04.2023,1 день назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60m_55et._2464749580,14300000,2,60.0,238333,5,5,Петроградский,"Петрозаводская ул., 18",Чкаловская,6–10 мин.,12.04.2023,1 неделю назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_56et._2547269548,12500000,2,45.0,277777,5,6,Петроградский,"ул. Красного Курсанта, 51",Чкаловская,16–20 мин.,19.04.2023,9 часов назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_164m_29et._2784052826,56000000,3,164.0,341463,2,9,Петроградский,"Кемская ул., 1",Крестовский остров,до 5 мин.,19.04.2023,4 часа назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_28m_35et._2658992797,5100000,Студия,28.0,182142,3,5,Петроградский,"Санкт-Петербург, Большой проспект Петроградской стороны, 46/1",Чкаловская,6–10 мин.,12.04.2023,1 неделю назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_655m_25et._2878670616,15300000,3,65.5,233587,2,5,Петроградский,"Полозова ул., 3",Петроградская,6–10 мин.,19.04.2023,8 часов назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_507m_78et._2667952137,17500000,1,50.7,345167,7,8,Петроградский,"Петровский пр-т, 22к2",Крестовский остров,21–30 мин.,13.04.2023,6 дней назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_56m_35et._2565032879,18000000,2,56.0,321428,3,5,Петроградский,"Подрезова ул., 16",Петроградская,6–10 мин.,19.04.2023,2 часа назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_785m_66et._2650580079,11100000,4,78.5,141401,6,6,Петроградский,"Чкаловский пр-т, 60",Петроградская,6–10 мин.,17.04.2023,2 дня назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_685m_26et._2814028915,23800000,2,68.5,347445,2,6,Петроградский,"Каменноостровский пр-т, 25/2",Петроградская,6–10 мин.,18.04.2023,1 день назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20m_25et._2788554360,4400000,Студия,20.0,220000,2,5,Петроградский,"ул. Чапаева, 11/4",Горьковская,11–15 мин.,19.04.2023,12 часов назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_170m_39et._3000315206,68700000,3,170.0,404117,3,9,Петроградский,"ул. Графтио, 3",Петроградская,11–15 мин.,19.04.2023,8 часов назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_49m_56et._2897618987,12444000,2,49.0,253959,5,6,Петроградский,"Пионерская ул., 46",Чкаловская,11–15 мин.,17.04.2023,2 дня назад
48,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_834m_1010et._3090367045,31500000,2,83.4,377697,10,10,Петроградский,"Корпусная ул., 9",Чкаловская,до 5 мин.,19.04.2023,6 часов назад
49,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59m_66et._2725820328,12890000,3,59.0,218474,6,6,Петроградский,"Большая Пушкарская ул., 38",Петроградская,6–10 мин.,12.04.2023,1 неделю назад
50,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_782m_58et._2733280042,26790000,2,78.2,342583,5,8,Петроградский,"Петровский пр-т, 24к2",Крестовский остров,16–20 мин.,19.04.2023,2 часа назад
51,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_784m_25et._2711140358,16000000,3,78.4,204081,2,5,Петроградский,"Саблинская ул., 3",Горьковская,11–15 мин.,18.04.2023,1 день назад
52,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_60m_27et._2959057737,15000000,2,60.0,250000,2,7,Петроградский,"ул. Рентгена, 15/31",Петроградская,6–10 мин.,19.04.2023,2 часа назад
53,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1065m_56et._3000420218,15500000,4,106.5,145539,5,6,Петроградский,"Малый пр-т Петроградской стороны, 1/3",Спортивная,6–10 мин.,19.04.2023,2 часа назад
54,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_155m_25et._2897643469,3120000,Студия,15.5,201290,2,5,Петроградский,"Съезжинская ул., 27",Горьковская,11–15 мин.,19.04.2023,11 часов назад
