,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_241m_217et._2874017486,5150000,Студия,24.1,213692,2,17,Фрунзенский,"Малая Бухарестская ул., 5к2",Дунайская,11–15 мин.,19.04.2023,10 часов назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_626m_39et._2602248235,2271000,3,62.6,36277,3,9,Фрунзенский,"ул. Димитрова, 12к3Б",Проспект Славы,16–20 мин.,14.04.2023,5 дней назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30m_99et._2859775297,5800000,1,30.0,193333,9,9,Фрунзенский,"ул. Димитрова, 13/70",Проспект Славы,11–15 мин.,18.04.2023,1 день назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_418m_55et._2814818202,7400000,2,41.8,177033,5,5,Фрунзенский,"Белградская ул., 10к3",Международная,11–15 мин.,19.04.2023,1 час назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_19et._2918386111,7740000,2,44.3,174717,1,9,Фрунзенский,"ул. Белы Куна, 7к1",Международная,до 5 мин.,16.04.2023,3 дня назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_21m_56et._2868984764,3400000,Студия,21.0,161904,5,6,Фрунзенский,"Боровая ул., 88",Обводный канал,6–10 мин.,14.04.2023,5 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_51m_15et._2970527435,14800000,2,51.0,290196,1,5,Фрунзенский,"Прилукская ул., 13",Обводный канал,6–10 мин.,16.04.2023,3 дня назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_258m_511et._2628808088,7600000,Студия,25.8,294573,5,11,Фрунзенский,"Тосина ул., 6",Волковская,16–20 мин.,14.04.2023,5 дней назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_523m_210et._2776949433,15550000,2,52.3,297323,2,10,Фрунзенский,"Днепропетровская ул., 65",Обводный канал,11–15 мин.,19.04.2023,7 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_371m_1927et._2883585230,15450000,1,37.1,416442,19,27,Фрунзенский,"Будапештская ул., 102",Дунайская,11–15 мин.,13.04.2023,6 дней назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_39et._2883141820,6900000,2,45.0,153333,3,9,Фрунзенский,"Бухарестская ул., 67к1",Проспект Славы,до 5 мин.,19.04.2023,7 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_624m_39et._2770125180,10949000,3,62.4,175464,3,9,Фрунзенский,"Будапештская ул., 74к1",Проспект Славы,16–20 мин.,19.04.2023,9 часов назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_447m_35et._2905824466,5499000,2,44.7,123020,3,5,Фрунзенский,"ул. Турку, 22к3",Международная,16–20 мин.,18.04.2023,1 день назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_453m_25et._2663842836,6350000,2,45.3,140176,2,5,Фрунзенский,"Будапештская ул., 23к1",Международная,11–15 мин.,19.04.2023,6 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335m_110et._2894823235,7299999,1,33.5,217910,1,10,Фрунзенский,"ул. Турку, 27",Проспект Славы,11–15 мин.,14.04.2023,5 дней назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_774m_69et._2759819855,9470000,4,77.4,122351,6,9,Фрунзенский,"Купчинская ул., 36",Купчино,16–20 мин.,19.04.2023,21 час назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_45et._2567608779,6950000,2,45.0,154444,4,5,Фрунзенский,"Санкт-Петербург, улица Белы Куна, 15к2",Международная,11–15 мин.,19.04.2023,8 часов назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_46m_55et._2901404086,7100000,2,46.0,154347,5,5,Фрунзенский,"Бухарестская ул., 86к2",Проспект Славы,6–10 мин.,12.04.2023,1 неделю назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_448m_55et._2970500810,7000000,2,44.8,156250,5,5,Фрунзенский,"Белградская ул., 22к2",Международная,16–20 мин.,19.04.2023,22 часа назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_312m_15et._2859606416,6300000,1,31.2,201923,1,5,Фрунзенский,"ул. Белы Куна, 20к3",Международная,6–10 мин.,19.04.2023,1 час назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_55m_1115et._2919767019,7699000,1,55.0,139981,11,15,Фрунзенский,"Софийская ул., 48к4",Ломоносовская,21–30 мин.,19.04.2023,1 час назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_37m_25et._3020397701,5500000,2,37.0,148648,2,5,Фрунзенский,"Бухарестская ул., 35к5",Проспект Славы,6–10 мин.,19.04.2023,54 минуты назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_42m_1116et._2818463513,7900000,1,42.0,188095,11,16,Фрунзенский,"Дунайский пр-т, 34/16",Купчино,6–10 мин.,19.04.2023,5 часов назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_40m_615et._2869158002,4900000,2,40.0,122500,6,15,Фрунзенский,"Купчинская ул., 30к3",Купчино,16–20 мин.,05.04.2023,2 недели назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_55et._2449768100,6300000,2,44.0,143181,5,5,Фрунзенский,"Будапештская ул., 43к2",Проспект Славы,11–15 мин.,19.04.2023,3 часа назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_258m_1717et._2755090373,5500000,Студия,25.8,213178,17,17,Фрунзенский,"Софийская ул., 28",Международная,16–20 мин.,12.04.2023,1 неделю назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35m_89et._2773468071,6150000,1,35.0,175714,8,9,Фрунзенский,"Купчинская ул., 8к1",Дунайская,16–20 мин.,19.04.2023,4 часа назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_637m_29et._2392602245,9300000,3,63.7,145996,2,9,Фрунзенский,"Будапештская ул., 95к1",Дунайская,16–20 мин.,19.04.2023,6 часов назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_36m_1718et._3002472697,9999000,1,36.0,277750,17,18,Фрунзенский,"ул. Салова, 61",Бухарестская,до 5 мин.,19.04.2023,2 часа назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_73m_1315et._2920330375,16500000,2,73.0,226027,13,15,Фрунзенский,"Софийская ул., 48к4",Ломоносовская,21–30 мин.,19.04.2023,1 час назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_52m_212et._2809801382,8190000,2,52.0,157500,2,12,Фрунзенский,"Санкт-Петербург, Малая Карпатская улица, 21",Дунайская,16–20 мин.,19.04.2023,9 часов назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_414m_1018et._2480242258,9500000,1,41.4,229468,10,18,Фрунзенский,"ул. Салова, д. 61, стр. 1",Бухарестская,до 5 мин.,19.04.2023,10 часов назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_449m_25et._2590139356,7600000,2,44.9,169265,2,5,Фрунзенский,"Альпийский пер., 26",Проспект Славы,6–10 мин.,19.04.2023,6 часов назад
