,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,District,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_566m_39et._3028077512,14200000,1,56.6,250883,3,9,Центральный,"Кременчугская ул., 9к2",Площадь А. Невского II,11–15 мин.,19.04.2023,37 минут назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_138m_26et._2958352984,4500000,Студия,13.8,326086,2,6,Центральный,"ул. Рубинштейна, 23",Достоевская,до 5 мин.,19.04.2023,8 часов назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_228m_45et._2847578106,4500000,Студия,22.8,197368,4,5,Центральный,"ул. Марата, 61",Лиговский проспект,6–10 мин.,19.04.2023,8 часов назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_22m_66et._2851045476,3690000,Студия,22.0,167727,6,6,Центральный,"Суворовский пр-т, 34",Чернышевская,16–20 мин.,19.04.2023,8 минут назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24m_35et._2816592131,4400000,Студия,24.0,183333,3,5,Центральный,"Центральный район, ул. Некрасова, 36",Чернышевская,6–10 мин.,19.04.2023,9 часов назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_839m_23et._2755610346,14380000,2,83.9,171394,2,3,Центральный,"пер. Джамбула, 5",Звенигородская,6–10 мин.,13.04.2023,6 дней назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_463m_47et._2424399478,8850000,2,46.3,191144,4,7,Центральный,"Центральный район, ул. Некрасова, 60",Чернышевская,11–15 мин.,16.04.2023,3 дня назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_20m_510et._2545797752,7800000,Студия,20.0,390000,5,10,Центральный,"Социалистическая ул., 21",Лиговский проспект,6–10 мин.,17.04.2023,2 дня назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_66m_46et._2924888828,15150000,3,66.0,229545,4,6,Центральный,"Мытнинская ул., 5/2",Площадь Восстания,11–15 мин.,19.04.2023,17 минут назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_149m_23et._2609024669,3800000,Студия,14.9,255033,2,3,Центральный,"Лиговский пр-т, 50Р",Лиговский проспект,6–10 мин.,13.04.2023,6 дней назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_84m_34et._2835102400,26000000,2,84.0,309523,3,4,Центральный,"ул. Рубинштейна, 11",Достоевская,до 5 мин.,13.04.2023,6 дней назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27m_56et._2643948775,9300000,Студия,27.0,344444,5,6,Центральный,"Санкт-Петербург, Боровая улица, 34/24",Обводный канал,6–10 мин.,19.04.2023,2 часа назад
12,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_263m_38et._2833119449,9209398,Студия,26.3,350167,3,8,Центральный,"Херсонская ул., 39",Площадь А. Невского I,6–10 мин.,13.04.2023,6 дней назад
13,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_364m_23et._2743021752,13000000,2,36.4,357142,2,3,Центральный,"ул. Марата, 25",Владимирская,до 5 мин.,19.04.2023,6 часов назад
14,https://www.avito.ru/sankt-peterburg/kvartiry/6-k._kvartira_1063m_45et._2779913585,24990000,6,106.3,235089,4,5,Центральный,"Пушкинская ул., 12",Маяковская,до 5 мин.,17.04.2023,2 дня назад
15,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_182m_25et._3000154519,3500000,Студия,18.2,192307,2,5,Центральный,"ул. Марата, 50",Лиговский проспект,6–10 мин.,18.04.2023,1 день назад
16,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_26m_27et._2788659868,4700000,Студия,26.0,180769,2,7,Центральный,"Центральный район, ул. Некрасова, 58",Чернышевская,11–15 мин.,19.04.2023,9 часов назад
17,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_246m_66et._2720181170,9105390,Студия,24.6,370137,6,6,Центральный,"Лиговский пр-т, 56Б",Лиговский проспект,6–10 мин.,13.04.2023,6 дней назад
18,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_40m_56et._2646645089,9699999,2,40.0,242499,5,6,Центральный,"ул. Восстания, 40",Чернышевская,до 5 мин.,18.04.2023,1 день назад
19,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_826m_55et._2474585889,13990000,4,82.6,169370,5,5,Центральный,"Конная ул., 20/6",Площадь А. Невского I,6–10 мин.,18.04.2023,1 день назад
20,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1728m_46et._2538441960,5554000,4,172.8,32141,4,6,Центральный,"Фурштатская ул., 2/12",Чернышевская,6–10 мин.,14.04.2023,5 дней назад
21,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_171m_46et._2949756108,5283900,Студия,17.1,309000,4,6,Центральный,"Полтавская ул., 10",Площадь Восстания,6–10 мин.,19.04.2023,2 часа назад
22,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_262m_610et._2936181217,8999999,Студия,26.2,343511,6,10,Центральный,"Социалистическая ул., 21",Лиговский проспект,6–10 мин.,19.04.2023,8 часов назад
23,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_691m_23et._2786909211,15990000,2,69.1,231403,2,3,Центральный,"Лиговский пр-т, 64-66",Лиговский проспект,до 5 мин.,17.04.2023,2 дня назад
24,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_826m_55et._2841790167,15990000,3,82.6,193583,5,5,Центральный,"Захарьевская ул., 27",Чернышевская,до 5 мин.,19.04.2023,17 часов назад
25,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_74m_25et._2897879799,15945000,2,74.0,215472,2,5,Центральный,"ул. Пестеля, 27",Чернышевская,6–10 мин.,16.04.2023,3 дня назад
26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_63m_55et._2786590715,11000000,2,63.0,174603,5,5,Центральный,"Коломенская ул., 46",Лиговский проспект,до 5 мин.,19.04.2023,3 часа назад
27,https://www.avito.ru/sankt-peterburg/kvartiry/5-k._kvartira_1533m_26et._2647409502,28900000,5,153.3,188519,2,6,Центральный,"Сапёрный пер., 9",Чернышевская,6–10 мин.,14.04.2023,5 дней назад
28,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_175m_24et._2798657704,4400000,Студия,17.5,251428,2,4,Центральный,"Владимирский пр-т, 13/9",Достоевская,до 5 мин.,17.04.2023,2 дня назад
29,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54m_35et._2793448305,14700000,2,54.0,272222,3,5,Центральный,"Новгородская ул., 5",Площадь А. Невского I,16–20 мин.,15.04.2023,4 дня назад
30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_56m_45et._2804569644,14900000,2,56.0,266071,4,5,Центральный,"Ковенский пер., 14",Площадь Восстания,6–10 мин.,19.04.2023,7 часов назад
31,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_29m_25et._2788387914,5200000,Студия,29.0,179310,2,5,Центральный,"8-я Советская ул., 23",Площадь Восстания,11–15 мин.,19.04.2023,9 часов назад
32,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_181m_16et._2853753698,5661680,Студия,18.1,312800,1,6,Центральный,"Тележная ул., 21",Площадь А. Невского II,6–10 мин.,19.04.2023,10 часов назад
33,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_380m_66et._2168380036,240000000,3,380.0,631578,6,6,Центральный,"Итальянская ул., 12А",Гостиный двор,6–10 мин.,19.04.2023,17 часов назад
34,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_50m_16et._2317511338,14500000,1,50.0,290000,1,6,Центральный,"Таврическая ул., 19",Чернышевская,11–15 мин.,13.04.2023,6 дней назад
35,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_271m_55et._3042371448,4999999,Студия,27.1,184501,5,5,Центральный,"Разъезжая ул., 40",Лиговский проспект,до 5 мин.,16.04.2023,3 дня назад
36,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_291m_46et._2720015963,10416297,Студия,29.1,357948,4,6,Центральный,"Лиговский пр-т, 56Б",Лиговский проспект,6–10 мин.,14.04.2023,5 дней назад
37,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24m_25et._2926991381,3190000,Студия,24.0,132916,2,5,Центральный,"ул. Марата, 50",Лиговский проспект,6–10 мин.,14.04.2023,5 дней назад
38,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_85m_33et._2583431893,22000000,3,85.0,258823,3,3,Центральный,"ул. Чайковского, 21",Чернышевская,6–10 мин.,19.04.2023,23 часа назад
39,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_35m_11et._3001832443,4600000,1,35.0,131428,1,1,Центральный,Санкт-Петербург,Адмиралтейская,6–10 мин.,19.04.2023,21 минуту назад
40,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_711m_25et._2648301648,14500000,3,71.1,203938,2,5,Центральный,"9-я Советская ул., 20",Чернышевская,16–20 мин.,16.04.2023,3 дня назад
41,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_172m_36et._2940426857,5000000,Студия,17.2,290697,3,6,Центральный,"Полтавская ул., 10",Площадь Восстания,6–10 мин.,19.04.2023,30 минут назад
42,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_218m_36et._2948691319,6500000,Студия,21.8,298165,3,6,Центральный,"Тележная ул., 29",Площадь А. Невского II,6–10 мин.,19.04.2023,1 час назад
43,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_706m_55et._2859129593,18900000,2,70.6,267705,5,5,Центральный,"Озерной пер., 9",Площадь Восстания,6–10 мин.,15.04.2023,4 дня назад
44,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_984m_66et._2732153367,26500000,3,98.4,269308,6,6,Центральный,"Невский пр-т, 72",Маяковская,6–10 мин.,19.04.2023,10 часов назад
45,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_18m_26et._3001910291,3700000,Студия,18.0,205555,2,6,Центральный,"Невский пр-т, 156",Площадь А. Невского II,6–10 мин.,18.04.2023,1 день назад
46,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_15m_67et._2724225970,3490000,Студия,15.0,232666,6,7,Центральный,"Санкт-Петербург, Центральный район, улица Некрасова, 60",Чернышевская,11–15 мин.,18.04.2023,1 день назад
47,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_383m_47et._2957032532,23000000,1,38.3,600522,4,7,Центральный,"10-я Советская ул., 8А",Площадь Восстания,16–20 мин.,19.04.2023,3 часа назад
48,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_39m_26et._2958305063,6700000,Студия,39.0,171794,2,6,Центральный,"Кавалергардская ул., 3",Чернышевская,16–20 мин.,14.04.2023,5 дней назад
49,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_14et._2540448204,10900000,2,57.0,191228,1,4,Центральный,"Гагаринская ул., 3",Чернышевская,16–20 мин.,19.04.2023,4 часа назад
50,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_383m_47et._2957032532,23000000,1,38.3,600522,4,7,Центральный,"10-я Советская ул., 8А",Площадь Восстания,16–20 мин.,19.04.2023,3 часа назад
51,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_984m_66et._2732153367,26500000,3,98.4,269308,6,6,Центральный,"Невский пр-т, 72",Маяковская,6–10 мин.,19.04.2023,10 часов назад
52,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_30m_36et._2958599484,8990000,1,30.0,299666,3,6,Центральный,"ул. Рубинштейна, 15-17",Достоевская,до 5 мин.,15.04.2023,4 дня назад
