,Ссылка,Стоимость,Тип участка,Площадь в сотках,Стоимость 1 сотки,Адрес,Дата,Дата прим.
0,https://www.avito.ru/moskovskoe/zemelnye_uchastki/uchastok_15sot._izhs_2853608918,700000,ИЖС,15.0,46666,с. Московское,17.08.2023,4 часа назад
1,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_5sot._snt_dnp_3249167892,980000,"СНТ, ДНП",5.0,196000,"Ставрополь, садовое товарищество Дизель",17.08.2023,2 часа назад
2,https://www.avito.ru/kangly/zemelnye_uchastki/uchastok_25sot._izhs_1976083718,4900000,ИЖС,25.0,196000,с. Долина,16.08.2023,1 день назад
3,https://www.avito.ru/pelagiada/zemelnye_uchastki/uchastok_7_sot._izhs_2337290452,550000,ИЖС,7.0,78571,с. Пелагиада,16.08.2023,1 день назад
4,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_12ga_snt_dnp_3353941501,18500000,"СНТ, ДНП",120.0,154166,хутор Садовый,15.08.2023,2 дня назад
5,https://www.avito.ru/svobody/zemelnye_uchastki/uchastok_4sot._izhs_3143907591,5700000,ИЖС,4.0,1425000,пос. Свободы,12.08.2023,5 дней назад
6,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_6sot._snt_dnp_3618100999,400000,"СНТ, ДНП",6.0,66666,"Ставрополь, садовое товарищество Птицевод",17.08.2023,2 часа назад
7,https://www.avito.ru/pelagiada/zemelnye_uchastki/uchastok_24sot._izhs_2337462260,550000,ИЖС,24.0,22916,с. Подлужное,16.08.2023,1 день назад
8,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_65sot._snt_dnp_2988391876,2100000,"СНТ, ДНП",6.5,323076,"Ставрополь, садовое товарищество Прометей",15.08.2023,2 дня назад
9,https://www.avito.ru/izobilnyy/zemelnye_uchastki/uchastok_15sot._izhs_2584865730,820000,ИЖС,15.0,54666,станица Староизобильная,17.08.2023,56 минут назад
10,https://www.avito.ru/levokumka/zemelnye_uchastki/uchastok_216ga_snt_dnp_2457791037,17799000,"СНТ, ДНП",2160.0,8240,Левокумка,12.08.2023,5 дней назад
11,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_17sot._promnaznacheniya_2532621207,21000000,промназначения,17.0,1235294,Ставрополь,17.08.2023,1 час назад
12,https://www.avito.ru/kislovodsk/zemelnye_uchastki/uchastok_13sot._izhs_2239148934,15000000,ИЖС,13.0,1153846,Кисловодск,12.08.2023,5 дней назад
13,https://www.avito.ru/inozemtsevo_kp/zemelnye_uchastki/uchastok_24sot._izhs_3242438691,11000000,ИЖС,24.0,458333,пос. Иноземцево,12.08.2023,5 дней назад
14,https://www.avito.ru/pokoynoe/zemelnye_uchastki/uchastok_30sot._izhs_3309964458,400000,ИЖС,30.0,13333,с. Покойное,17.08.2023,1 час назад
15,https://www.avito.ru/stavropol/zemelnye_uchastki/uchastok_3sot._snt_dnp_906872322,250000,"СНТ, ДНП",3.0,83333,"Ставрополь, садовое товарищество Кавказ",11.08.2023,6 дней назад
16,https://www.avito.ru/tatarka/zemelnye_uchastki/uchastok_1200ga_snt_dnp_3357164296,2000000,"СНТ, ДНП",120000.0,16,Татарка,17.08.2023,18 минут назад
